Benchmark,gcc
Experiment,100k
exe_time,6.484375
CYCLE_VAL,3
tracectr,100000
invokectr,99001
oramctr,0
dummyctr,0
pos1_access,16677
pos2_access,3374
Bk_Evict,0
Cache_Hit,0.000000%
Cache Evict,0.000000%
hitctr,0
missctr,1
earlyctr,0
topctr,63.683321%
midctr,17.981132%
botctr,18.335547%
stashctr,1
ringctr,115966
ring_evictctr,23193
shuffctr,68085
shuff_tc+,24720
shuffctr_dram,24720
shuffctr_nvm,0
nonmemops_sum,258023
deadctr,1025321
stash_hit,3086
dram_norm_r,0
dram_norm_w,0
dram_total_acc,0
dram_inplace_r,5169731
dram_remote_r,35
dram_inplace_w,4146619
dram_remote_w,46445
remote_drams,46410
surplus_dead,16777216
surplus_in_use,0
rmiss,279
wmiss,307
nonmemops_executed,11
dead_dram,1023088
deadQs,1000
shuff[0],0
shuff[1],2092
shuff[2],4008
shuff[3],4848
shuff[4],5267
shuff[5],5381
shuff[6],5479
shuff[7],5431
shuff[8],5417
shuff[9],5442
shuff[10],5414
shuff[11],5270
shuff[12],4992
shuff[13],4400
shuff[14],3296
shuff[15],1227
shuff[16],117
shuff[17],4
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
realcount[0],3107
realcount[1],3991
realcount[2],4895
realcount[3],6237
realcount[4],7654
realcount[5],8416
realcount[6],8257
realcount[7],8392
realcount[8],8154
realcount[9],7689
realcount[10],7059
realcount[11],6511
realcount[12],5903
realcount[13],3904
realcount[14],2282
realcount[15],1104
realcount[16],562
realcount[17],334
realcount[18],152
realcount[19],77
realcount[20],23
realcount[21],20
realcount[22],209
realcount[23],21034
dumcount[0],112859
dumcount[1],111975
dumcount[2],111071
dumcount[3],109729
dumcount[4],108312
dumcount[5],107550
dumcount[6],107709
dumcount[7],107574
dumcount[8],107812
dumcount[9],108277
dumcount[10],108907
dumcount[11],109455
dumcount[12],110063
dumcount[13],112062
dumcount[14],113684
dumcount[15],114862
dumcount[16],115404
dumcount[17],115632
dumcount[18],115814
dumcount[19],115889
dumcount[20],115943
dumcount[21],115946
