Benchmark,gcc
Experiment,1m
exe_time,66.078125
CYCLE_VAL,3
tracectr,1000000
invokectr,999001
oramctr,0
dummyctr,0
pos1_access,155843
pos2_access,36327
Bk_Evict,0
Cache_Hit,100.000000%
Cache Evict,-nan%
hitctr,1
missctr,0
earlyctr,0
topctr,65.005530%
midctr,23.208447%
botctr,11.786023%
stashctr,3
ringctr,1158144
ring_evictctr,231628
shuffctr,863670
shuff_tc+,429080
shuffctr_dram,429080
shuffctr_nvm,0
nonmemops_sum,225557
deadctr,6398239
stash_hit,33027
dram_norm_r,0
dram_norm_w,0
dram_total_acc,0
dram_inplace_r,49991747
dram_remote_r,3480
dram_inplace_w,43592738
dram_remote_w,469726
remote_drams,466246
surplus_dead,16777216
surplus_in_use,0
rmiss,197
wmiss,316
nonmemops_executed,11
dead_dram,6396021
deadQs,1000
shuff[0],0
shuff[1],20902
shuff[2],40523
shuff[3],48247
shuff[4],52079
shuff[5],53653
shuff[6],54401
shuff[7],54999
shuff[8],54791
shuff[9],54995
shuff[10],54993
shuff[11],54981
shuff[12],54869
shuff[13],54003
shuff[14],53097
shuff[15],50583
shuff[16],46154
shuff[17],37511
shuff[18],19863
shuff[19],2871
shuff[20],151
shuff[21],3
shuff[22],0
shuff[23],1
realcount[0],29788
realcount[1],37540
realcount[2],47317
realcount[3],61818
realcount[4],76658
realcount[5],85576
realcount[6],87667
realcount[7],88107
realcount[8],85198
realcount[9],79064
realcount[10],74124
realcount[11],69804
realcount[12],65041
realcount[13],47834
realcount[14],32273
realcount[15],21644
realcount[16],14334
realcount[17],9369
realcount[18],4844
realcount[19],2411
realcount[20],1233
realcount[21],641
realcount[22],1264
realcount[23],134594
dumcount[0],1128355
dumcount[1],1120603
dumcount[2],1110826
dumcount[3],1096325
dumcount[4],1081485
dumcount[5],1072567
dumcount[6],1070476
dumcount[7],1070036
dumcount[8],1072945
dumcount[9],1079079
dumcount[10],1084019
dumcount[11],1088339
dumcount[12],1093102
dumcount[13],1110309
dumcount[14],1125870
dumcount[15],1136499
dumcount[16],1143809
dumcount[17],1148774
dumcount[18],1153299
dumcount[19],1155732
dumcount[20],1156910
dumcount[21],1157502
dumcount[22],1156879
dumcount[23],1023549
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],1
s_dist[6],0
s_dist[7],0
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],231629
s_underctr,6468
s_overctr,463258
s_inctr,41293541
inplacectr,43592738
takenctr,6468
extendctr,463258
s_under[23],0
deadctr_arr[0],3
deadctr_arr[1],5
deadctr_arr[2],12
deadctr_arr[3],20
deadctr_arr[4],39
deadctr_arr[5],66
deadctr_arr[6],131
deadctr_arr[7],267
deadctr_arr[8],557
deadctr_arr[9],1118
deadctr_arr[10],2209
deadctr_arr[11],4349
deadctr_arr[12],8819
deadctr_arr[13],17473
deadctr_arr[14],34937
deadctr_arr[15],70096
deadctr_arr[16],140345
deadctr_arr[17],281242
deadctr_arr[18],559521
deadctr_arr[19],884222
deadctr_arr[20],1029767
deadctr_arr[21],1094615
deadctr_arr[22],1126294
deadctr_arr[23],1142132
ep_s[10][0],25960
ep_s[10][1],22931
ep_s[10][2],28208
ep_s[10][3],36646
ep_s[10][4],42296
