Benchmark,mix
exe_time,0.000000
CYCLE_VAL,0
tracectr,0
mem_clk,0
invokectr,1000000
oramctr,0
dummyctr,0
pos1_access,63476
pos2_access,6400
plb_hit0,0.000000%
plb_hit1,91.546694%
plb_hit2,91.686652%
plb_hit0,0
plb_hit1,889605
plb_hit2,75316
plbaccess0,971750
plbaccess1,971750
plbaccess2,82145
oramQ_size,0
Bk_Evict,-nan%
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,0
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,29.155954%
midctr,47.892430%
botctr,22.951616%
ring_evictctr,208325
stashctr,1
stash_cont,0
linger_discard,0
shuffctr,767879
ringctr,1041626
wbctr,980373
writectr,467022
wskip,0
mem_req_late,0.000000
nonmemops_sum,0
missl1wb,0
missl1wb_rate,-nan%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,5913200
dead_on_path,65
nonleaf_r_norm,0
leaf_r_norm,0
nonleaf_w_norm,0
leaf_w_norm,0
nonleaf_r_remote,0
leaf_r_remote,0
nonleaf_r_inplace,19599602
leaf_r_inplace,1041626
nonleaf_w_inplace,31764548
nonleaf_w_inplace_remembered,5263000
nonleaf_w_remote,0
leaf_w_inplace,2499900
leaf_w_remote,0
deadQ-size,10000
