Experiment,30m
exe_time,0.000000
CYCLE_VAL,2
tracectr,41472341
invokectr,11472341
oramctr,0
dummyctr,0
pos1_access,1518713
pos2_access,298544
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,70.636776%
midctr,20.276348%
botctr,9.086876%
stashctr,23
ringctr,12743058
ring_evictctr,2548610
shuffctr,14185015
shuff_tc+,9399942
shuffctr_dram,9399942
shuffctr_nvm,0
nonmemops_sum,0
deadctr,31447117
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,402836296
dram_remote_r,968786
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,530325986
dram_remote_w,10553737
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,9584951
remote_nvms,0
surplus_dead,16777216
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,31444939
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,0
rmpki,-nan
wmpki,-nan
supshuf_total,2772603
supshuf_horiz1,4815697
supshuf_horiz2,3951163
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],230074
shuff[2],446473
shuff[3],532255
shuff[4],570524
shuff[5],590735
shuff[6],598592
shuff[7],603593
shuff[8],606012
shuff[9],606815
shuff[10],608368
shuff[11],608059
shuff[12],608013
shuff[13],607998
shuff[14],608579
shuff[15],608052
shuff[16],608327
shuff[17],608110
shuff[18],607434
shuff[19],607623
shuff[20],608286
shuff[21],607999
shuff[22],608748
shuff[23],1494346
realcount[0],1614536
realcount[1],2174882
realcount[2],2713077
realcount[3],3101087
realcount[4],3326197
realcount[5],3715967
realcount[6],3956212
realcount[7],3806016
realcount[8],3281573
realcount[9],2712935
realcount[10],2293331
realcount[11],2081957
realcount[12],2156648
realcount[13],1674867
realcount[14],1077715
realcount[15],682663
realcount[16],444290
realcount[17],317815
realcount[18],232269
realcount[19],194194
realcount[20],168466
realcount[21],1539987
realcount[22],1088470
realcount[23],1506531
