Benchmark,gcc
Experiment,test
Time,240.796875
Cycles,3
DEAD_ENABLE,0
DYNAMIC_S,0
CB_ENABLE,1
RSTL_ENABLE,1
RING_ZSTL,0
TRACE_SIZE,4000000
WARMUP_TREE,3800000
WARMUP_CACHE,1000000
DEADQ_SIZE,1000
GATHER_OFFSET,9
REMOTE_RATIO,0.500000
REMOTE_CAP,10
CB_MAX,4
S_INC,5
LEVEL,24
PATH ,8388608
NODE ,16777215
SLOT ,134217720
BLOCK,33260542
Z    ,12
L10,5+3
L11,5+3
L12,5+3
L13,5+3
L14,5+3
L15,5+3
L16,5+3
L17,5+3
L18,5+3
L19,5+3
L20,5+3
L21,5+3
L22,5+3
L23,5+3
ePL,112
space,134217720
space_ratio,66.666667%
tracectr,4000000
invokectr,3800001
ringctr,4255759
ringdum,0
dummy_ratio,0.000000%
ring_evictctr,851109
shuff_tc+,1957529
pos1_access,538038
pos2_access,99075
cache_hit,-nan%
cache_evict,-nan%
hitctr,0
missctr,0
rmiss,3301
wmiss,16616
nonmemops_sum,74708386
nonmemops_executed,11
topctr,70.041579%
midctr,20.137853%
botctr,9.820568%
stashctr,3
stash_hit,181355
dram_norm_r,126665298
dram_norm_w,110984440
dram_inplace_r,0
dram_remote_r,0
dram_inplace_w,0
dram_remote_w,0
dram_total_acc,237649738
shuff[0],0
shuff[1],76402
shuff[2],148654
shuff[3],177354
shuff[4],190602
shuff[5],197154
shuff[6],200317
shuff[7],201629
shuff[8],202339
shuff[9],202801
shuff[10],202884
shuff[11],202586
shuff[12],202729
shuff[13],202289
shuff[14],201109
shuff[15],198758
shuff[16],194716
shuff[17],185199
shuff[18],167043
shuff[19],131179
shuff[20],61287
shuff[21],7447
shuff[22],295
shuff[23],8
shuffctr,3554781
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],200216
s_dist[4],0
s_dist[5],0
s_dist[6],0
s_dist[7],0
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],4455761
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],0
deadQs,0
dead_dram,15680858
deadctr_arr[0],3
deadctr_arr[1],6
deadctr_arr[2],9
deadctr_arr[3],19
deadctr_arr[4],36
deadctr_arr[5],75
deadctr_arr[6],133
deadctr_arr[7],273
deadctr_arr[8],517
deadctr_arr[9],1105
deadctr_arr[10],2074
deadctr_arr[11],4387
deadctr_arr[12],8709
deadctr_arr[13],17669
deadctr_arr[14],35112
deadctr_arr[15],69853
deadctr_arr[16],140008
deadctr_arr[17],280375
deadctr_arr[18],561129
deadctr_arr[19],1122760
deadctr_arr[20],2233278
deadctr_arr[21],3343980
deadctr_arr[22],3821675
deadctr_arr[23],4039849
deadctr,15683034
