Benchmark,gcc
exe_time,895.343750
CYCLE_VAL,3
tracectr,9999997
mem_clk,0
invokectr,9999998
oramctr,0
dummyctr,0
pos1_access,1292437
pos2_access,245328
plb_hit0,0.000000%
plb_hit1,82.983773%
plb_hit2,84.446752%
plb_hit0,0
plb_hit1,7885192
plb_hit2,1365417
plbaccess0,9502089
plbaccess1,9502089
plbaccess2,1616897
oramQ_size,0
Bk_Evict,-nan%
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,0
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,71.538951%
midctr,19.309780%
botctr,9.151269%
ring_evictctr,2207969
stashctr,1
stash_cont,8
linger_discard,0
shuffctr,9943758
ringctr,11039854
wbctr,10369585
writectr,4770581
wskip,0
mem_req_late,0.000000
nonmemops_sum,0
missl1wb,0
missl1wb_rate,-nan%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,26383847
dead_on_path,76
nonleaf_r_norm,0
leaf_r_norm,0
nonleaf_w_norm,0
leaf_w_norm,0
nonleaf_r_remote,1849089
leaf_r_remote,873926
nonleaf_r_inplace,381957055
leaf_r_inplace,21245382
nonleaf_w_inplace,383104133
nonleaf_w_inplace_remembered,22624221
nonleaf_w_remote,8286970
leaf_w_inplace,12464363
leaf_w_remote,14065873
deadQ-size,2000
remote_located_leaves,13191947
shuff_tc+,5800564
shuff[0],0
shuff[1],198906
shuff[2],386088
shuff[3],460797
shuff[4],494326
shuff[5],511272
shuff[6],518866
shuff[7],522373
shuff[8],524691
shuff[9],525875
shuff[10],525641
shuff[11],526461
shuff[12],525952
shuff[13],525551
shuff[14],524653
shuff[15],522190
shuff[16],517466
shuff[17],508546
shuff[18],490884
shuff[19],455100
shuff[20],384256
shuff[21],241207
shuff[22],49773
shuff[23],2884
nonleaf_elselevel,5064287
leaf_elselevel,819227
remote_located_nonleaves,6437881
surplus_dead,0
surplus_in_use,0
