Benchmark,mix
exe_time,1986.406250
CYCLE_VAL,491216396
tracectr,4000122
mem_clk,0
invokectr,44517
oramctr,0
dummyctr,0
pos1_access,18109
pos2_access,4401
plb_hit0,0.000000%
plb_hit1,51.919491%
plb_hit2,79.312278%
plb_hit0,0
plb_hit1,23113
plb_hit2,16976
plbaccess0,44517
plbaccess1,44517
plbaccess2,21404
oramQ_size,41
Bk_Evict,-nan%
Bk_Evict,0
Cache_Hit,97.499708%
Cache Evict,78.029273%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,242135
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,16.748474%
midctr,16.450087%
botctr,66.801438%
ring_evictctr,13405
stashctr,3
stash_cont,0
linger_discard,0
shuffctr,37000
ringctr,67027
wbctr,62225
writectr,25858
wskip,0
mem_req_late,11034.348541
nonmemops_sum,430302862
missl1wb,0
missl1wb_rate,0.000000%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,644762
dead_on_path,52
nonleaf_r_norm,0
leaf_r_norm,0
nonleaf_w_norm,0
leaf_w_norm,0
nonleaf_r_remote,0
leaf_r_remote,58
nonleaf_r_inplace,1862352
leaf_r_inplace,86225
nonleaf_w_inplace,2027373
nonleaf_w_inplace_remembered,6500
nonleaf_w_remote,67
leaf_w_inplace,0
leaf_w_remote,160860
deadQ-size,2000
remote_located_leaves,160802
shuff_tc+,11995
shuff[0],0
shuff[1],1229
shuff[2],2287
shuff[3],2764
shuff[4],3004
shuff[5],3146
shuff[6],3173
shuff[7],3136
shuff[8],3166
shuff[9],3100
shuff[10],3082
shuff[11],2942
shuff[12],2630
shuff[13],2126
shuff[14],1031
shuff[15],141
shuff[16],7
shuff[17],1
shuff[18],29
shuff[19],6
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
nonleaf_elselevel,0
leaf_elselevel,0
remote_located_nonleaves,67
surplus_dead,24379392
surplus_in_use,120480
