Benchmark,mcf
exe_time,2982.656250
CYCLE_VAL,725702961
tracectr,3492000
mem_clk,0
invokectr,262888
oramctr,381671
dummyctr,0
pos1_access,94670
pos2_access,24113
plb_hit0,0.000000%
plb_hit1,63.988467%
plb_hit2,74.529418%
plb_hit0,0
plb_hit1,168218
plb_hit2,70557
plbaccess0,262888
plbaccess1,262888
plbaccess2,94670
oramQ_size,111
Bk_Evict,0.000000%
Bk_Evict,0
Cache_Hit,46.757222%
Cache Evict,0.356168%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,21502
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,5.207888%
midctr,34.014898%
botctr,60.777214%
ring_evictctr,0
stashctr,0
stash_cont,0
linger_discard,0
shuffctr,0
ringctr,0
wbctr,0
writectr,1584
wskip,0
mem_req_late,2760.502408
nonmemops_sum,16606767
missl1wb,0
missl1wb_rate,0.000000%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
