Benchmark,gcc
Experiment,base22
Time,5568.546875
Cycles,183603943
DEAD_ENABLE,0
DYNAMIC_S,0
CB_ENABLE,0
RSTL_ENABLE,0
RING_ZSTL,0
SKIP_ENABLE,0
TRACE_SIZE,40000000
WARMUP_TREE,38000000
WARMUP_CACHE,1000000
DEADQ_SIZE,1000
GATHER_OFFSET,8
REMOTE_RATIO,0.500000
REMOTE_CAP,10
CB_MAX,3
S_INC,2
LEVEL,22
PATH ,2097152
NODE ,4194303
SLOT ,50331636
BLOCK,10485759
Z    ,12
SKIP_L1    ,21
SKIP_L2    ,23
SKIP_TURN    ,40000000
DUP_ENABLE    ,0
L10,5+7
L11,5+7
L12,5+7
L13,5+7
L14,5+7
L15,5+7
L16,5+7
L17,5+7
L18,5+7
L19,5+7
L20,5+7
L21,5+7
ePL,144
space,50331636
space_ratio,100.000000%
tracectr,40000000
invokectr,38139239
ringctr,34209881
ringdum,0
ringtotal,34209881
acc_ratio,100.000000%
dummy_ratio,0.000000%
ring_evictctr,37937
shuff_tc+,108251
pos1_access,2762233
pos2_access,732661
cache_hit,90.848350%
cache_evict,70.898144%
hitctr,1816967
missctr,183033
rmiss,34599
wmiss,148434
rctr,20920950
wctr,19079050
wskip,0
nonmemops_sum,515060579
nonmemops_executed,228870378
topctr,66.977389%
midctr,24.485393%
botctr,8.537218%
stashctr,4
sttctr,0
shuff[0],0
shuff[1],3400
shuff[2],6536
shuff[3],7903
shuff[4],8408
shuff[5],8751
shuff[6],8892
shuff[7],8968
shuff[8],9006
shuff[9],9025
shuff[10],9083
shuff[11],8956
shuff[12],9038
shuff[13],9067
shuff[14],9078
shuff[15],9115
shuff[16],8993
shuff[17],8998
shuff[18],8894
shuff[19],9015
shuff[20],8917
shuff[21],9097
rmpki,0.067175
wmpki,0.288188
TOP_BOUNDARY,9
MID_BOUNDARY,20
util[0],0.461143
util[1],0.428804
util[2],0.390758
util[3],0.355072
util[4],0.321308
util[5],0.283872
util[6],0.245074
util[7],0.209369
util[8],0.179610
util[9],0.155576
util[10],0.135001
util[11],0.115002
util[12],0.091639
util[13],0.074758
util[14],0.065805
util[15],0.061298
util[16],0.059377
util[17],0.059959
util[18],0.068575
util[19],0.126496
util[20],0.376384
util[21],0.763700
TotalReads, 7824192
TotalWrites,  9492715
TotalMem, 17316907
dup_renewal, 34209869
