Benchmark,gcc
Experiment,cb-40m
Time,2462.093750
Cycles,3
DEAD_ENABLE,0
DYNAMIC_S,0
CB_ENABLE,1
RSTL_ENABLE,1
RING_ZSTL,0
TRACE_SIZE,40000000
WARMUP_TREE,39000000
WARMUP_CACHE,1000000
DEADQ_SIZE,1000
GATHER_OFFSET,9
REMOTE_RATIO,0.500000
REMOTE_CAP,10
CB_MAX,2
S_INC,3
LEVEL,24
PATH ,8388608
NODE ,16777215
SLOT ,167772150
BLOCK,33260542
Z    ,12
L10,5+5
L11,5+5
L12,5+5
L13,5+5
L14,5+5
L15,5+5
L16,5+5
L17,5+5
L18,5+5
L19,5+5
L20,5+5
L21,5+5
L22,5+5
L23,5+5
ePL,140
space,167772150
space_ratio,83.333333%
tracectr,40000000
invokectr,39000001
ringctr,43018182
ringdum,0
ring_evictctr,8603613
shuff_tc+,26443479
pos1_access,5036129
pos2_access,954325
cache_hit,100.000000%
cache_evict,-nan%
hitctr,1
missctr,0
rmiss,20687
wmiss,61622
nonmemops_sum,239819699
nonmemops_executed,11
topctr,71.434503%
midctr,19.532062%
botctr,9.033434%
stashctr,4
stash_hit,1972273
dram_norm_r,1504871950
dram_norm_w,1468940610
dram_inplace_r,0
dram_remote_r,0
dram_inplace_w,0
dram_remote_w,0
dram_total_acc,2973812560
shuff[0],0
shuff[1],774936
shuff[2],1503268
shuff[3],1795544
shuff[4],1927549
shuff[5],1991490
shuff[6],2020595
shuff[7],2036985
shuff[8],2045390
shuff[9],2048786
shuff[10],2051046
shuff[11],2051062
shuff[12],2050606
shuff[13],2051079
shuff[14],2049201
shuff[15],2046617
shuff[16],2043357
shuff[17],2034474
shuff[18],2015198
shuff[19],1980838
shuff[20],1911265
shuff[21],1766392
shuff[22],1480997
shuff[23],911347
shuffctr,42588022
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],8050839
s_dist[6],0
s_dist[7],0
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],51068904
allocS_dist[6],0
allocS_dist[7],0
deadQs,0
dead_dram,35931340
deadctr_arr[0],4
deadctr_arr[1],7
deadctr_arr[2],10
deadctr_arr[3],16
deadctr_arr[4],48
deadctr_arr[5],78
deadctr_arr[6],130
deadctr_arr[7],270
deadctr_arr[8],541
deadctr_arr[9],1086
deadctr_arr[10],2159
deadctr_arr[11],4393
deadctr_arr[12],8773
deadctr_arr[13],17643
deadctr_arr[14],35052
deadctr_arr[15],70291
deadctr_arr[16],140170
deadctr_arr[17],280901
deadctr_arr[18],562201
deadctr_arr[19],1122619
deadctr_arr[20],2244455
deadctr_arr[21],4494082
deadctr_arr[22],8984349
deadctr_arr[23],17964252
deadctr,35933530
