Benchmark,gcc
Experiment,cb-nosim
Time,186.109375
Cycles,3
DEAD_ENABLE,0
DYNAMIC_S,0
CB_ENABLE,1
RSTL_ENABLE,1
RING_ZSTL,0
TRACE_SIZE,4000000
WARMUP_TREE,3000000
WARMUP_CACHE,1000000
DEADQ_SIZE,1000
GATHER_OFFSET,9
REMOTE_RATIO,0.500000
REMOTE_CAP,10
CB_MAX,2
S_INC,3
LEVEL,24
PATH ,8388608
NODE ,16777215
SLOT ,167772150
BLOCK,33260542
Z    ,12
L10,5+5
L11,5+5
L12,5+5
L13,5+5
L14,5+5
L15,5+5
L16,5+5
L17,5+5
L18,5+5
L19,5+5
L20,5+5
L21,5+5
L22,5+5
L23,5+5
ePL,140
space,167772150
space_ratio,83.333333%
tracectr,4000000
invokectr,3000001
ringctr,3398770
ringdum,0
ring_evictctr,679752
shuff_tc+,1509318
pos1_access,434357
pos2_access,88977
cache_hit,100.000000%
cache_evict,-nan%
hitctr,1
missctr,0
rmiss,12945
wmiss,77114
nonmemops_sum,377963510
nonmemops_executed,11
topctr,68.076238%
midctr,21.735290%
botctr,10.188472%
stashctr,4
stash_hit,124565
dram_norm_r,123855673
dram_norm_w,110258460
dram_inplace_r,0
dram_remote_r,0
dram_inplace_w,0
dram_remote_w,0
dram_total_acc,234114133
shuff[0],0
shuff[1],61362
shuff[2],119007
shuff[3],142069
shuff[4],152287
shuff[5],157182
shuff[6],159773
shuff[7],160818
shuff[8],161548
shuff[9],161826
shuff[10],161845
shuff[11],161575
shuff[12],161734
shuff[13],161301
shuff[14],160008
shuff[15],157417
shuff[16],153188
shuff[17],143826
shuff[18],126417
shuff[19],90691
shuff[20],28806
shuff[21],2411
shuff[22],97
shuff[23],2
shuffctr,2785190
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],122007
s_dist[6],0
s_dist[7],0
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],3520767
allocS_dist[6],0
allocS_dist[7],0
deadQs,0
dead_dram,13597213
deadctr_arr[0],3
deadctr_arr[1],6
deadctr_arr[2],9
deadctr_arr[3],15
deadctr_arr[4],34
deadctr_arr[5],72
deadctr_arr[6],141
deadctr_arr[7],269
deadctr_arr[8],557
deadctr_arr[9],1104
deadctr_arr[10],2216
deadctr_arr[11],4331
deadctr_arr[12],8836
deadctr_arr[13],17580
deadctr_arr[14],35007
deadctr_arr[15],69875
deadctr_arr[16],140465
deadctr_arr[17],281356
deadctr_arr[18],562051
deadctr_arr[19],1123065
deadctr_arr[20],2135443
deadctr_arr[21],2833186
deadctr_arr[22],3122843
deadctr_arr[23],3260959
deadctr,13599423
