Benchmark,gcc
Experiment,cbonly
Time,0.000000
Cycles,2
DEAD_ENABLE,0
DYNAMIC_S,0
CB_ENABLE,1
RSTL_ENABLE,1
RING_ZSTL,0
TRACE_SIZE,40000000
WARMUP_TREE,39000000
WARMUP_CACHE,1000000
DEADQ_SIZE,1000
GATHER_OFFSET,9
REMOTE_RATIO,0.500000
REMOTE_CAP,10
CB_MAX,5
S_INC,5
LEVEL,24
PATH ,8388608
NODE ,16777215
SLOT ,117440505
BLOCK,33260542
Z    ,12
L10,5+2
L11,5+2
L12,5+2
L13,5+2
L14,5+2
L15,5+2
L16,5+2
L17,5+2
L18,5+2
L19,5+2
L20,5+2
L21,5+2
L22,5+2
L23,5+2
ePL,98
space,117440505
space_ratio,58.333333%
tracectr,15419022
invokectr,15419022
ringctr,15971517
ringdum,259373
ring_evictctr,3245264
shuff_tc+,8949075
pos1_access,1856012
pos2_access,371128
cache_hit,-nan%
cache_evict,-nan%
hitctr,0
missctr,0
rmiss,0
wmiss,0
nonmemops_sum,0
nonmemops_executed,10
topctr,69.515274%
midctr,20.874347%
botctr,9.610378%
stashctr,200
stash_hit,1674645
dram_norm_r,411484928
dram_norm_w,380679299
dram_inplace_r,0
dram_remote_r,0
dram_inplace_w,0
dram_remote_w,0
dram_total_acc,792164227
shuff[0],0
shuff[1],285612
shuff[2],556653
shuff[3],665563
shuff[4],716595
shuff[5],741929
shuff[6],756318
shuff[7],765318
shuff[8],770190
shuff[9],772049
shuff[10],772630
shuff[11],772823
shuff[12],772311
shuff[13],772231
shuff[14],772161
shuff[15],769030
shuff[16],765192
shuff[17],756905
shuff[18],738699
shuff[19],702638
shuff[20],631562
shuff[21],487987
shuff[22],211530
shuff[23],23376
shuffctr,14979302
s_dist[0],0
s_dist[1],0
s_dist[2],2057093
s_dist[3],0
s_dist[4],0
s_dist[5],0
s_dist[6],0
s_dist[7],0
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],18283408
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],0
deadQs,0
dead_dram,30805565
deadctr_arr[0],5
deadctr_arr[1],8
deadctr_arr[2],10
deadctr_arr[3],19
deadctr_arr[4],42
deadctr_arr[5],83
deadctr_arr[6],159
deadctr_arr[7],275
deadctr_arr[8],550
deadctr_arr[9],1104
deadctr_arr[10],2283
deadctr_arr[11],4373
deadctr_arr[12],8742
deadctr_arr[13],17614
deadctr_arr[14],35217
deadctr_arr[15],69882
deadctr_arr[16],139856
deadctr_arr[17],279927
deadctr_arr[18],561286
deadctr_arr[19],1123730
deadctr_arr[20],2247723
deadctr_arr[21],4492156
deadctr_arr[22],8884498
deadctr_arr[23],12938278
deadctr,30807820
