Benchmark,gcc
exe_time,73.109375
CYCLE_VAL,7256802
tracectr,10000
invokectr,3247
oramctr,0
dummyctr,0
pos1_access,1154
pos2_access,454
Bk_Evict,0
Cache_Hit,67.530000%
Cache Evict,0.000000%
hitctr,6753
missctr,3247
earlyctr,0
topctr,7.765191%
midctr,0.597322%
botctr,91.637487%
stashctr,0
ringctr,4855
ring_evictctr,971
shuffctr,2051
shuff_tc+,398
shuffctr_dram,398
shuffctr_nvm,0
nonmemops_sum,2659549
deadctr,64398
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,136381
dram_remote_r,1550
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,134260
dram_remote_w,32932
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,31382
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,1398
wmiss,1849
nonmemops_executed,2657442
dead_dram,62192
Reads_chan[0],60863  
Writes_chan[0],68093  
R_Latency_chan[0],348.14911
R_Q_Latency_chan[0],288.14911
W_Latency_chan[0],1154.36528
W_Q_Latency_chan[0],1090.36528
Reads_chan[1],58088  
Writes_chan[1],67228  
R_Latency_chan[1],345.38633
R_Q_Latency_chan[1],285.38633
W_Latency_chan[1],1121.87963
W_Q_Latency_chan[1],1057.87963
Reads_chan[2],44278  
Writes_chan[2],50363  
R_Latency_chan[2],296.40632
R_Q_Latency_chan[2],236.40632
W_Latency_chan[2],875.55590
W_Q_Latency_chan[2],811.55590
Reads_chan[3],56099  
Writes_chan[3],62220  
R_Latency_chan[3],390.23498
R_Q_Latency_chan[3],330.23498
W_Latency_chan[3],1212.42663
W_Q_Latency_chan[3],1148.42663
All_R,219328
All_W,247904
dram_R,163229
dram_W,185684
DRAM/NVM_R#,2.909660
DRAM/NVM_W#,2.984314
online_wait_dram,411910
online_wait_nvm,0
evict_wait_dram,594803
evict_wait_nvm,0
reshuffle_wait_dram,128290
reshuffle_wait_nvm,0
meta_wait_dram,3762440
online_wait_dram_perAcc,24.241408
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,10.295340
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,75.866351
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,92.257368
odram,720
onvm,0
envm,0
edram,429
rnvm,0
rdram,243
mdram,4853
lrs_ctr,6519
deadQs,34205
rmpki,0.525762
wmpki,0.695374
supshuf_total,0
supshuf_horiz1,0
supshuf_horiz2,0
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],77
shuff[2],169
shuff[3],197
shuff[4],220
shuff[5],220
shuff[6],219
shuff[7],211
shuff[8],185
shuff[9],155
shuff[10],255
shuff[11],121
shuff[12],19
shuff[13],3
shuff[14],0
shuff[15],0
shuff[16],0
shuff[17],0
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
realcount[0],13
realcount[1],8
realcount[2],20
realcount[3],25
realcount[4],34
realcount[5],38
realcount[6],42
realcount[7],69
realcount[8],56
realcount[9],58
realcount[10],14
realcount[11],15
realcount[12],6
realcount[13],4
realcount[14],1
realcount[15],2
realcount[16],1
realcount[17],0
realcount[18],0
realcount[19],0
realcount[20],0
realcount[21],1
realcount[22],62
realcount[23],4386
dumcount[0],4842
dumcount[1],4847
dumcount[2],4835
dumcount[3],4830
dumcount[4],4821
dumcount[5],4817
dumcount[6],4813
dumcount[7],4786
dumcount[8],4799
dumcount[9],4797
dumcount[10],4841
dumcount[11],4840
dumcount[12],4849
dumcount[13],4851
dumcount[14],4854
dumcount[15],4853
dumcount[16],4854
dumcount[17],4855
dumcount[18],4855
dumcount[19],4855
dumcount[20],4855
dumcount[21],4854
dumcount[22],4793
dumcount[23],469
supcount_dist[0],0
supcount_dist[1],0
supcount_dist[2],0
supcount_dist[3],0
supcount_dist[4],0
supcount_dist[5],0
supcount_dist[6],0
supcount_dist[7],0
supcount_dist[8],0
supcount_dist[9],0
supcount_dist[10],0
supcount_dist[11],0
supcount_dist[12],0
supcount_dist[13],0
supcount_dist[14],0
supcount_dist[15],0
supcount_dist[16],0
supcount_dist[17],0
supcount_dist[18],0
supcount_dist[19],0
supcount_dist[20],0
suphoriz1_dist[0],0
suphoriz1_dist[1],0
suphoriz1_dist[2],0
suphoriz1_dist[3],0
suphoriz1_dist[4],0
suphoriz1_dist[5],0
suphoriz1_dist[6],0
suphoriz1_dist[7],0
suphoriz1_dist[8],0
suphoriz2_dist[0],0
suphoriz2_dist[1],0
suphoriz2_dist[2],0
suphoriz2_dist[3],0
suphoriz2_dist[4],0
suphoriz2_dist[5],0
suphoriz2_dist[6],0
suphoriz2_dist[7],0
suphoriz2_dist[8],0
ephoriz1_dist[0],0
ephoriz1_dist[1],0
ephoriz1_dist[2],0
ephoriz1_dist[3],0
ephoriz1_dist[4],0
ephoriz1_dist[5],0
ephoriz1_dist[6],0
ephoriz1_dist[7],0
ephoriz1_dist[8],0
ephoriz2_dist[0],0
ephoriz2_dist[1],0
ephoriz2_dist[2],0
ephoriz2_dist[3],0
ephoriz2_dist[4],0
ephoriz2_dist[5],0
ephoriz2_dist[6],0
ephoriz2_dist[7],0
ephoriz2_dist[8],0
