Benchmark,gcc
Experiment,dumif
Time,0.000000
Cycles,2
DEAD_ENABLE,1
DYNAMIC_S,1
CB_ENABLE,1
RSTL_ENABLE,1
RING_ZSTL,0
TRACE_SIZE,40000000
WARMUP_TREE,39000000
WARMUP_CACHE,1000000
DEADQ_SIZE,1000
GATHER_OFFSET,9
REMOTE_RATIO,0.500000
REMOTE_CAP,10
CB_MAX,5
S_INC,5
LEVEL,24
PATH ,8388608
NODE ,16777215
SLOT ,84934649
BLOCK,33260542
Z    ,12
L10,5+2
L11,5+2
L12,5+2
L13,5+2
L14,5+2
L15,5+2
L16,5+2
L17,5+2
L18,5+2
L19,5+0
L20,5+0
L21,5+0
L22,5+0
L23,5+0
ePL,88
space,84934649
space_ratio,42.187499%
tracectr,257423
invokectr,257423
ringctr,269277
ringdum,69019
ring_evictctr,67651
shuff_tc+,96605
pos1_access,35684
pos2_access,8534
cache_hit,-nan%
cache_evict,-nan%
hitctr,0
missctr,0
rmiss,0
wmiss,0
nonmemops_sum,0
nonmemops_executed,10
topctr,59.831523%
midctr,23.906907%
botctr,16.261570%
stashctr,200
stash_hit,32364
dram_norm_r,0
dram_norm_w,0
dram_inplace_r,9079106
dram_remote_r,12804
dram_inplace_w,6610591
dram_remote_w,694344
dram_total_acc,16396845
shuff[0],0
shuff[1],6102
shuff[2],11604
shuff[3],13931
shuff[4],14820
shuff[5],15436
shuff[6],15809
shuff[7],15828
shuff[8],15975
shuff[9],15987
shuff[10],15875
shuff[11],15701
shuff[12],15484
shuff[13],15008
shuff[14],13979
shuff[15],11644
shuff[16],7128
shuff[17],1428
shuff[18],68
shuff[19],269
shuff[20],19
shuff[21],2
shuff[22],0
shuff[23],0
shuffctr,222097
s_dist[0],290
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],0
s_dist[6],0
s_dist[7],0
allocS_dist[0],500
allocS_dist[1],0
allocS_dist[2],338040
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],0
deadQs,5000
dead_dram,2462964
deadctr_arr[0],5
deadctr_arr[1],8
deadctr_arr[2],10
deadctr_arr[3],15
deadctr_arr[4],40
deadctr_arr[5],79
deadctr_arr[6],160
deadctr_arr[7],302
deadctr_arr[8],577
deadctr_arr[9],1074
deadctr_arr[10],2233
deadctr_arr[11],4443
deadctr_arr[12],8784
deadctr_arr[13],17609
deadctr_arr[14],35205
deadctr_arr[15],70450
deadctr_arr[16],140564
deadctr_arr[17],242350
deadctr_arr[18],294147
deadctr_arr[19],314970
deadctr_arr[20],327201
deadctr_arr[21],332686
deadctr_arr[22],335472
deadctr_arr[23],336850
deadctr,2465234
