Benchmark,gcc
exe_time,4333.750000
CYCLE_VAL,282082770
tracectr,40000008
invokectr,38164886
oramctr,0
dummyctr,0
pos1_access,5023054
pos2_access,954737
Bk_Evict,0
Cache_Hit,91.119580%
Cache Evict,85.673104%
hitctr,911204
missctr,88805
earlyctr,0
topctr,71.075077%
midctr,19.833502%
botctr,9.091420%
stashctr,0
ringctr,42249889
ring_evictctr,8449969
shuffctr,40970211
shuff_tc+,25111363
shuffctr_dram,25111363
shuffctr_nvm,0
nonmemops_sum,514126684
deadctr,28421086
dram_norm_r,1833792930
nvm_norm_r,0
dram_norm_w,1805374136
nvm_norm_w,0
dram_inplace_r,0
dram_remote_r,0
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,0
dram_remote_w,0
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,0
remote_nvms,0
surplus_dead,8388608
surplus_in_use,0
rmiss,54265
wmiss,154805
nonmemops_executed,228043714
dead_dram,28418794
deadQs,0
shuff[0],0
shuff[1],763431
shuff[2],1478272
shuff[3],1762889
shuff[4],1893485
shuff[5],1956701
shuff[6],1985918
shuff[7],1999331
shuff[8],2007329
shuff[9],2011492
shuff[10],2013211
shuff[11],2014636
shuff[12],2014507
shuff[13],2013300
shuff[14],2012768
shuff[15],2011898
shuff[16],2006620
shuff[17],1997389
shuff[18],1979028
shuff[19],1944011
shuff[20],1873312
shuff[21],1728721
shuff[22],1445260
shuff[23],56702
realcount[0],1512829
realcount[1],2036504
realcount[2],2538106
realcount[3],2887495
realcount[4],3071935
realcount[5],3417658
realcount[6],3598766
realcount[7],3432413
realcount[8],2968940
realcount[9],2469423
realcount[10],2095041
realcount[11],1909017
realcount[12],1979766
realcount[13],1544785
realcount[14],1010841
realcount[15],637119
realcount[16],411224
realcount[17],290935
realcount[18],213552
realcount[19],176659
realcount[20],205726
realcount[21],1614925
realcount[22],620297
realcount[23],1605889
dumcount[0],40737016
dumcount[1],40213341
dumcount[2],39711739
dumcount[3],39362350
dumcount[4],39177910
dumcount[5],38832187
dumcount[6],38651079
dumcount[7],38817432
dumcount[8],39280905
dumcount[9],39780422
dumcount[10],40154804
dumcount[11],40340828
dumcount[12],40270079
dumcount[13],40705060
dumcount[14],41239004
dumcount[15],41612726
dumcount[16],41838621
dumcount[17],41958910
dumcount[18],42036293
dumcount[19],42073186
dumcount[20],42044119
dumcount[21],40634920
dumcount[22],41629548
dumcount[23],40643956
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],0
s_dist[6],28351
s_dist[7],14986239
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],16956640
allocS_dist[7],82585991
s_underctr,0
s_overctr,0
s_inctr,1681571594
inplacectr,1805374136
takenctr,0
extendctr,0
s_under[15],0
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],0
deadctr_arr[1],4
deadctr_arr[2],9
deadctr_arr[3],18
deadctr_arr[4],40
deadctr_arr[5],74
deadctr_arr[6],150
deadctr_arr[7],284
deadctr_arr[8],560
deadctr_arr[9],1153
deadctr_arr[10],2247
deadctr_arr[11],4472
deadctr_arr[12],8781
deadctr_arr[13],17602
deadctr_arr[14],35003
deadctr_arr[15],70360
deadctr_arr[16],140592
deadctr_arr[17],281272
deadctr_arr[18],562022
deadctr_arr[19],1123270
deadctr_arr[20],2245717
deadctr_arr[21],4493278
deadctr_arr[22],8981779
deadctr_arr[23],10452399
deadQ_ov[15],0
deadQ_ov[16],0
deadQ_ov[17],0
deadQ_ov[18],0
deadQ_ov[19],0
deadQ_ov[20],0
deadQ_ov[21],0
deadQ_ov[22],0
deadQ_ov[23],0
deadQ_empty_s6[15],0
deadQ_empty_s6[16],0
deadQ_empty_s6[17],0
deadQ_empty_s6[18],0
deadQ_empty_s6[19],0
deadQ_empty_s6[20],0
deadQ_empty_s6[21],0
deadQ_empty_s6[22],0
deadQ_empty_s6[23],0
deadQ_empty_s7[15],0
deadQ_empty_s7[16],0
deadQ_empty_s7[17],0
deadQ_empty_s7[18],0
deadQ_empty_s7[19],0
deadQ_empty_s7[20],0
deadQ_empty_s7[21],0
deadQ_empty_s7[22],0
deadQ_empty_s7[23],0
Q_serve_under[15],0
