Benchmark,gcc
exe_time,2981.968750
CYCLE_VAL,475224397
tracectr,17000004
mem_clk,0
invokectr,16171810
oramctr,0
dummyctr,0
pos1_access,2159677
pos2_access,410796
plb_hit0,0.000000%
plb_hit1,82.315915%
plb_hit2,84.568098%
plb_hit0,0
plb_hit1,12671325
plb_hit2,2302117
plbaccess0,15393530
plbaccess1,15393530
plbaccess2,2722205
oramQ_size,131
Bk_Evict,-nan%
Bk_Evict,0
Cache_Hit,89.377342%
Cache Evict,61.738541%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,501047
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,70.112362%
midctr,20.363016%
botctr,9.524622%
ring_evictctr,3592797
stashctr,2
stash_cont,14
linger_discard,0
shuffctr,19247831
ringctr,17964003
wbctr,16872910
writectr,7837777
wskip,0
mem_req_late,29.385974
nonmemops_sum,292515257
missl1wb,13
missl1wb_rate,0.012238%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,30610294
dead_on_path,36
nonleaf_r_norm,0
leaf_r_norm,0
nonleaf_w_norm,0
leaf_w_norm,0
nonleaf_r_remote,3995135
leaf_r_remote,8237652
nonleaf_r_inplace,665394482
leaf_r_inplace,28252250
nonleaf_w_inplace,639299731
nonleaf_w_inplace_remembered,35332416
nonleaf_w_remote,11833932
leaf_w_inplace,15625865
leaf_w_remote,27981655
deadQ-size,2000
remote_located_leaves,447761
shuff_tc+,12507105
shuff[0],0
shuff[1],323677
shuff[2],628434
shuff[3],749283
shuff[4],805288
shuff[5],831146
shuff[6],843566
shuff[7],850514
shuff[8],853240
shuff[9],855578
shuff[10],854768
shuff[11],855902
shuff[12],856394
shuff[13],857329
shuff[14],855569
shuff[15],856383
shuff[16],851190
shuff[17],840835
shuff[18],1366049
shuff[19],1337630
shuff[20],1247844
shuff[21],1049943
shuff[22],636106
shuff[23],41163
nonleaf_elselevel,7574185
leaf_elselevel,2716111
remote_located_nonleaves,7838797
surplus_dead,8126464
surplus_in_use,6631607
