Benchmark,gcc
exe_time,2833.812500
CYCLE_VAL,3
tracectr,39000001
invokectr,38000001
oramctr,0
dummyctr,0
pos1_access,4965508
pos2_access,939870
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,71.385658%
midctr,19.607559%
botctr,9.006783%
stashctr,4
ringctr,42013746
ring_evictctr,8402742
shuffctr,82027395
shuff_tc+,66266719
shuffctr_dram,66266719
shuffctr_nvm,0
nonmemops_sum,286074382
deadctr,29184449
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,1478021620
dram_remote_r,29695911
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,1788538851
dram_remote_w,61050629
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,31354718
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,33062
wmiss,87204
nonmemops_executed,11
dead_dram,29182279
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
