Benchmark,gcc
Experiment,index
exe_time,4588.609375
CYCLE_VAL,3
tracectr,40000000
invokectr,39000001
oramctr,0
dummyctr,0
pos1_access,5038074
pos2_access,954389
Bk_Evict,0
Cache_Hit,100.000000%
Cache Evict,-nan%
hitctr,1
missctr,0
earlyctr,0
topctr,71.432131%
midctr,19.536355%
botctr,9.031514%
stashctr,1
ringctr,43023100
ring_evictctr,8604615
shuffctr,45694389
shuff_tc+,29550779
shuffctr_dram,29550779
shuffctr_nvm,0
nonmemops_sum,239819669
deadctr,20965142
stash_hit,1969364
dram_norm_r,1911994819
nvm_norm_r,0
dram_norm_w,1891031864
nvm_norm_w,0
dram_inplace_r,0
dram_remote_r,0
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,0
dram_remote_w,0
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,0
remote_nvms,0
surplus_dead,50331648
surplus_in_use,0
rmiss,20689
wmiss,61623
nonmemops_executed,11
dead_dram,20962955
deadQs,0
shuff[0],0
shuff[1],775812
shuff[2],1504148
shuff[3],1794778
shuff[4],1926061
shuff[5],1989990
shuff[6],2023272
shuff[7],2036682
shuff[8],2044927
shuff[9],2047940
shuff[10],2050523
shuff[11],2049068
shuff[12],2051527
shuff[13],2050778
shuff[14],2050020
shuff[15],2047832
shuff[16],2044163
shuff[17],2034804
shuff[18],2015527
shuff[19],1979620
shuff[20],1908276
shuff[21],1766072
shuff[22],2951275
shuff[23],2551294
realcount[0],1549115
realcount[1],2090642
realcount[2],2603978
realcount[3],2950467
realcount[4],3142100
realcount[5],3505262
realcount[6],3718568
realcount[7],3527852
realcount[8],3022919
realcount[9],2503675
realcount[10],2117722
realcount[11],1932385
realcount[12],2015142
realcount[13],1563779
realcount[14],1002576
realcount[15],631998
realcount[16],411661
realcount[17],293949
realcount[18],215470
realcount[19],182068
realcount[20],156113
realcount[21],59415
realcount[22],1868047
realcount[23],1958173
dumcount[0],41473961
dumcount[1],40932434
dumcount[2],40419098
dumcount[3],40072609
dumcount[4],39880976
dumcount[5],39517814
dumcount[6],39304508
dumcount[7],39495224
dumcount[8],40000157
dumcount[9],40519401
dumcount[10],40905354
dumcount[11],41090691
dumcount[12],41007934
dumcount[13],41459297
dumcount[14],42020500
dumcount[15],42391078
dumcount[16],42611415
dumcount[17],42729127
dumcount[18],42807606
dumcount[19],42841008
dumcount[20],42866963
dumcount[21],42963661
dumcount[22],41155029
dumcount[23],41064903
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],5502569
s_dist[4],0
s_dist[5],0
s_dist[6],0
s_dist[7],13796294
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],45423598
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],74028599
s_underctr,0
s_overctr,0
s_inctr,1745230092
inplacectr,1891031864
takenctr,0
extendctr,0
s_under[15],0
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],1
deadctr_arr[1],3
