Benchmark,gcc
exe_time,9224.046875
CYCLE_VAL,323257535
tracectr,40000008
invokectr,38164886
oramctr,0
dummyctr,0
pos1_access,5022786
pos2_access,954586
Bk_Evict,0
Cache_Hit,91.119580%
Cache Evict,85.673104%
hitctr,911204
missctr,88805
earlyctr,0
topctr,71.076598%
midctr,19.730252%
botctr,9.193150%
stashctr,0
ringctr,42250271
ring_evictctr,8450046
shuffctr,43877153
shuff_tc+,28020113
shuffctr_dram,28020113
shuffctr_nvm,0
nonmemops_sum,514126684
deadctr,35920425
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,997733136
dram_remote_r,760545361
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,910433728
dram_remote_w,845415356
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,84869995
remote_nvms,0
surplus_dead,33488896
surplus_in_use,0
rmiss,54265
wmiss,154805
nonmemops_executed,228043714
dead_dram,35918309
deadQs,8861
shuff[0],0
shuff[1],761659
shuff[2],1478374
shuff[3],1764068
shuff[4],1893454
shuff[5],1954244
shuff[6],1984742
shuff[7],1999601
shuff[8],2008040
shuff[9],2012858
shuff[10],2012687
shuff[11],2013510
shuff[12],2013945
shuff[13],2014415
shuff[14],2012039
shuff[15],2015650
shuff[16],2014850
shuff[17],2014248
shuff[18],2013552
shuff[19],2008895
shuff[20],2003637
shuff[21],1992029
shuff[22],1968943
shuff[23],1921713
realcount[0],1514089
realcount[1],2036591
realcount[2],2534511
realcount[3],2888104
realcount[4],3071645
realcount[5],3415574
realcount[6],3604087
realcount[7],3432539
realcount[8],2974525
realcount[9],2467121
realcount[10],2091241
realcount[11],1906249
realcount[12],1979450
realcount[13],1544659
realcount[14],1014250
realcount[15],636631
realcount[16],410376
realcount[17],291774
realcount[18],213127
realcount[19],176165
realcount[20],163396
realcount[21],1420024
realcount[22],1000688
realcount[23],1463414
dumcount[0],40736141
dumcount[1],40213639
dumcount[2],39715719
dumcount[3],39362126
dumcount[4],39178585
dumcount[5],38834656
dumcount[6],38646143
dumcount[7],38817691
dumcount[8],39275705
dumcount[9],39783109
dumcount[10],40158989
dumcount[11],40343981
dumcount[12],40270780
dumcount[13],40705571
dumcount[14],41235980
dumcount[15],41613599
dumcount[16],41839854
dumcount[17],41958456
dumcount[18],42037103
dumcount[19],42074065
dumcount[20],42086834
dumcount[21],40830206
dumcount[22],41249542
dumcount[23],40786816
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],2939056
s_dist[6],0
s_dist[7],15014461
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],94003931
s_underctr,657407494
s_overctr,188007862
s_inctr,824197054
inplacectr,910433728
takenctr,657407494
extendctr,188007862
s_under[15],0
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],0
deadctr_arr[1],3
deadctr_arr[2],7
deadctr_arr[3],19
deadctr_arr[4],26
deadctr_arr[5],76
deadctr_arr[6],137
deadctr_arr[7],281
deadctr_arr[8],506
deadctr_arr[9],1061
deadctr_arr[10],2179
deadctr_arr[11],4370
deadctr_arr[12],8869
deadctr_arr[13],17545
deadctr_arr[14],34965
deadctr_arr[15],70092
deadctr_arr[16],140425
deadctr_arr[17],280428
deadctr_arr[18],559453
deadctr_arr[19],1121753
deadctr_arr[20],2243612
deadctr_arr[21],4492667
deadctr_arr[22],8982727
deadctr_arr[23],17959224
deadQ_ov[15],5936773
deadQ_ov[16],6757313
deadQ_ov[17],7231640
deadQ_ov[18],7536885
deadQ_ov[19],7871437
deadQ_ov[20],8375737
deadQ_ov[21],9318853
deadQ_ov[22],11180992
deadQ_ov[23],14986802
deadQ_empty_s6[15],0
deadQ_empty_s6[16],0
deadQ_empty_s6[17],0
deadQ_empty_s6[18],0
deadQ_empty_s6[19],0
deadQ_empty_s6[20],0
deadQ_empty_s6[21],0
deadQ_empty_s6[22],0
deadQ_empty_s6[23],0
deadQ_empty_s7[15],0
deadQ_empty_s7[16],0
deadQ_empty_s7[17],0
deadQ_empty_s7[18],0
deadQ_empty_s7[19],0
deadQ_empty_s7[20],0
deadQ_empty_s7[21],0
deadQ_empty_s7[22],0
deadQ_empty_s7[23],0
Q_serve_under[15],99279113
Q_serve_under[16],97768909
Q_serve_under[17],95818234
Q_serve_under[18],92457922
Q_serve_under[19],85999712
Q_serve_under[20],73922096
Q_serve_under[21],56557891
Q_serve_under[22],35552878
Q_serve_under[23],20050739
Q_serve_over[15],20931392
Q_serve_over[16],20929792
Q_serve_over[17],20928588
Q_serve_over[18],20927196
Q_serve_over[19],20917882
Q_serve_over[20],20907366
Q_serve_over[21],20884150
Q_serve_over[22],20837978
Q_serve_over[23],20743518
cap_Q_full[15],0
cap_Q_full[16],0
cap_Q_full[17],0
cap_Q_full[18],0
cap_Q_full[19],0
cap_Q_full[20],0
cap_Q_full[21],0
cap_Q_full[22],0
cap_Q_full[23],0
cap_Q_notfull[15],0
cap_Q_notfull[16],0
cap_Q_notfull[17],0
cap_Q_notfull[18],0
cap_Q_notfull[19],0
cap_Q_notfull[20],0
cap_Q_notfull[21],0
cap_Q_notfull[22],0
cap_Q_notfull[23],0
dead_gathered[15],120211493
dead_gathered[16],118699674
dead_gathered[17],116747810
dead_gathered[18],113386097
dead_gathered[19],106918584
dead_gathered[20],94830449
dead_gathered[21],77443029
dead_gathered[22],56391832
dead_gathered[23],40795249
stash_hit,1891987
dead_encountered[15],6248727
dead_encountered[16],7375466
dead_encountered[17],8464371
dead_encountered[18],9999631
dead_encountered[19],12784861
dead_encountered[20],17965254
dead_encountered[21],26456154
dead_encountered[22],34471045
dead_encountered[23],40309779
dead_shadowed[15],0
dead_shadowed[16],0
dead_shadowed[17],0
dead_shadowed[18],0
dead_shadowed[19],0
dead_shadowed[20],0
dead_shadowed[21],0
dead_shadowed[22],0
dead_shadowed[23],0
dead_scan[15],0
dead_scan[16],0
dead_scan[17],0
dead_scan[18],0
dead_scan[19],0
dead_scan[20],0
dead_scan[21],0
dead_scan[22],0
dead_scan[23],0
shad_added[15],0
shad_added[16],0
shad_added[17],0
shad_added[18],0
shad_added[19],0
shad_added[20],0
shad_added[21],0
shad_added[22],0
shad_added[23],0
same_bucket,0
remote_under,58652314
remote_over,26217681
