Benchmark,gcc
Experiment,l5-s5
exe_time,2710.187500
CYCLE_VAL,3
tracectr,40000000
invokectr,39000001
oramctr,0
dummyctr,0
pos1_access,5036916
pos2_access,954322
Bk_Evict,0
Cache_Hit,100.000000%
Cache Evict,-nan%
hitctr,1
missctr,0
earlyctr,0
topctr,71.430073%
midctr,19.536623%
botctr,9.033303%
stashctr,3
ringctr,43020908
ring_evictctr,8604176
shuffctr,128078349
shuff_tc+,111933740
shuffctr_dram,111933740
shuffctr_nvm,0
nonmemops_sum,239819689
deadctr,8439239
stash_hit,1970331
dram_norm_r,2114324252
dram_norm_w,2105887228
dram_total_acc,4220211480
dram_inplace_r,0
dram_remote_r,0
dram_inplace_w,0
dram_remote_w,0
remote_drams,0
surplus_dead,41943040
surplus_in_use,0
rmiss,20687
wmiss,61623
nonmemops_executed,11
dead_dram,8437024
deadQs,0
shuff[0],0
shuff[1],776154
shuff[2],1503212
shuff[3],1796885
shuff[4],1927664
shuff[5],1990691
shuff[6],2021586
shuff[7],2035006
shuff[8],2044923
shuff[9],2048488
shuff[10],2048926
shuff[11],2049768
shuff[12],2051723
shuff[13],2050406
shuff[14],2049435
shuff[15],2048748
shuff[16],2042043
shuff[17],2034429
shuff[18],2015298
shuff[19],19253943
shuff[20],19149359
shuff[21],18938273
shuff[22],18520695
shuff[23],17680694
realcount[0],1547897
realcount[1],2090979
realcount[2],2603190
realcount[3],2949304
realcount[4],3141937
realcount[5],3508013
realcount[6],3718065
realcount[7],3526680
realcount[8],3026184
realcount[9],2504263
realcount[10],2113337
realcount[11],1930268
realcount[12],2018429
realcount[13],1563501
realcount[14],1000757
realcount[15],633817
realcount[16],411020
realcount[17],293882
realcount[18],215610
realcount[19],181278
realcount[20],156266
realcount[21],1418186
realcount[22],1002629
realcount[23],1465392
dumcount[0],41472987
dumcount[1],40929905
dumcount[2],40417694
dumcount[3],40071580
dumcount[4],39878947
dumcount[5],39512871
dumcount[6],39302819
dumcount[7],39494204
dumcount[8],39994700
dumcount[9],40516621
dumcount[10],40907547
dumcount[11],41090616
dumcount[12],41002455
dumcount[13],41457383
dumcount[14],42020127
dumcount[15],42387067
dumcount[16],42609864
dumcount[17],42727002
dumcount[18],42805274
dumcount[19],42839606
dumcount[20],42864618
dumcount[21],41602698
dumcount[22],42018255
dumcount[23],41555492
s_dist[0],0
s_dist[1],0
s_dist[2],17680694
s_dist[3],0
s_dist[4],0
s_dist[5],0
s_dist[6],0
s_dist[7],0
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],26284870
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],0
s_underctr,0
s_overctr,0
s_inctr,1933421365
inplacectr,2105887228
takenctr,0
extendctr,0
s_under[23],0
deadctr_arr[0],4
deadctr_arr[1],6
deadctr_arr[2],7
deadctr_arr[3],21
deadctr_arr[4],36
deadctr_arr[5],66
deadctr_arr[6],140
deadctr_arr[7],259
deadctr_arr[8],549
deadctr_arr[9],1127
deadctr_arr[10],2167
deadctr_arr[11],4369
deadctr_arr[12],8788
deadctr_arr[13],17737
deadctr_arr[14],34835
deadctr_arr[15],70048
deadctr_arr[16],140149
deadctr_arr[17],281176
deadctr_arr[18],561169
deadctr_arr[19],235957
deadctr_arr[20],471960
deadctr_arr[21],944105
deadctr_arr[22],1887299
deadctr_arr[23],3777265
ep_s[10][0],961838
ep_s[10][1],851684
ep_s[10][2],1035746
ep_s[10][3],1363650
ep_s[10][4],1580411
ep_s[10][5],1540962
ep_s[10][6],1271173
ep_s[11][0],961210
ep_s[11][1],851677
ep_s[11][2],1036742
ep_s[11][3],1364199
ep_s[11][4],1579833
ep_s[11][5],1540055
ep_s[11][6],1271063
ep_s[12][0],962329
ep_s[12][1],852635
ep_s[12][2],1038107
ep_s[12][3],1363851
ep_s[12][4],1579271
ep_s[12][5],1539431
ep_s[12][6],1268866
ep_s[13][0],959822
ep_s[13][1],854693
ep_s[13][2],1038183
ep_s[13][3],1363195
ep_s[13][4],1580837
ep_s[13][5],1540409
ep_s[13][6],1267189
ep_s[14][0],961307
ep_s[14][1],855921
ep_s[14][2],1037626
ep_s[14][3],1363423
ep_s[14][4],1579898
ep_s[14][5],1538094
ep_s[14][6],1267983
ep_s[15][0],964528
ep_s[15][1],857514
ep_s[15][2],1040012
ep_s[15][3],1364238
ep_s[15][4],1577448
ep_s[15][5],1533622
ep_s[15][6],1266854
ep_s[16][0],965189
ep_s[16][1],861739
ep_s[16][2],1040792
ep_s[16][3],1364236
ep_s[16][4],1575731
ep_s[16][5],1531751
ep_s[16][6],1264764
ep_s[17][0],975558
ep_s[17][1],865756
ep_s[17][2],1045297
ep_s[17][3],1364799
ep_s[17][4],1572109
ep_s[17][5],1524548
ep_s[17][6],1256121
ep_s[18][0],988826
ep_s[18][1],880195
ep_s[18][2],1051835
ep_s[18][3],1363106
ep_s[18][4],1564641
ep_s[18][5],1512610
ep_s[18][6],1242965
ep_s[19][0],4327155
ep_s[19][1],4277013
ep_s[19][2],14
ep_s[19][3],0
ep_s[19][4],0
ep_s[19][5],0
ep_s[19][6],0
ep_s[20][0],4353973
ep_s[20][1],4250200
ep_s[20][2],3
ep_s[20][3],0
ep_s[20][4],0
ep_s[20][5],0
ep_s[20][6],0
ep_s[21][0],4403947
ep_s[21][1],4200225
ep_s[21][2],4
ep_s[21][3],0
ep_s[21][4],0
ep_s[21][5],0
ep_s[21][6],0
ep_s[22][0],4511984
ep_s[22][1],4092189
ep_s[22][2],3
ep_s[22][3],0
ep_s[22][4],0
ep_s[22][5],0
ep_s[22][6],0
ep_s[23][0],4721945
ep_s[23][1],3882231
ep_s[23][2],0
ep_s[23][3],0
ep_s[23][4],0
ep_s[23][5],0
ep_s[23][6],0
ep_shuf[0],3285565
ep_shuf[1],2748601
ep_shuf[2],1659179
ep_shuf[3],677782
ep_shuf[4],188941
ep_shuf[5],37774
ep_shuf[6],5593
ep_shuf[7],689
ep_shuf[8],49
ep_shuf[9],3
ep_shuf[10],0
ep_shuf[11],0
ep_shuf[12],0
ep_shuf[13],0
ep_shuf[14],0
ep_shuf[15],0
ep_shuf[16],0
ep_shuf[17],0
ep_shuf[18],0
ep_shuf[19],0
ep_shuf[20],0
ep_shuf[21],0
same_bucket,0
remote_under,0
remote_over,0
count_min[0],5
count_min[1],1
count_min[2],1
count_min[3],1
count_min[4],1
count_min[5],1
count_min[6],1
count_min[7],1
count_min[8],1
count_min[9],1
count_min[10],1
count_min[11],1
count_min[12],1
count_min[13],1
count_min[14],1
count_min[15],1
count_min[16],1
count_min[17],1
count_min[18],1
count_min[19],1
count_min[20],1
count_min[21],1
count_min[22],1
count_min[23],1
count_max[0],5
count_max[1],10
count_max[2],16
count_max[3],19
count_max[4],19
count_max[5],19
count_max[6],20
count_max[7],20
count_max[8],20
count_max[9],21
count_max[10],20
count_max[11],20
count_max[12],21
count_max[13],20
count_max[14],19
count_max[15],20
count_max[16],20
count_max[17],21
count_max[18],21
count_max[19],70
count_max[20],70
count_max[21],70
count_max[22],71
count_max[23],63
count_avg[0],5.000000
count_avg[1],5.005169
count_avg[2],5.016225
count_avg[3],5.024354
count_avg[4],5.028866
count_avg[5],5.031378
count_avg[6],5.032329
count_avg[7],5.033084
count_avg[8],5.033536
count_avg[9],5.033603
count_avg[10],5.033463
count_avg[11],5.033486
count_avg[12],5.033118
count_avg[13],5.032122
count_avg[14],5.031051
count_avg[15],5.028218
count_avg[16],5.021791
count_avg[17],5.010182
count_avg[18],4.986434
count_avg[19],16.018731
count_avg[20],15.669886
count_avg[21],14.946528
count_avg[22],13.388761
count_avg[23],9.727323
lifetime_min[0],1
lifetime_min[1],1
lifetime_min[2],1
lifetime_min[3],1
lifetime_min[4],1
lifetime_min[5],1
lifetime_min[6],1
lifetime_min[7],1
lifetime_min[8],1
lifetime_min[9],1
lifetime_min[10],1
lifetime_min[11],1
lifetime_min[12],1
lifetime_min[13],1
lifetime_min[14],1
lifetime_min[15],1
lifetime_min[16],1
lifetime_min[17],1
lifetime_min[18],1
lifetime_min[19],1
lifetime_min[20],1
lifetime_min[21],1
lifetime_min[22],1
lifetime_min[23],1
lifetime_max[0],5
lifetime_max[1],10
lifetime_max[2],20
lifetime_max[3],40
lifetime_max[4],80
lifetime_max[5],160
lifetime_max[6],320
lifetime_max[7],640
lifetime_max[8],1280
lifetime_max[9],2560
lifetime_max[10],5120
lifetime_max[11],10240
lifetime_max[12],20481
lifetime_max[13],40961
lifetime_max[14],81921
lifetime_max[15],163841
lifetime_max[16],327680
lifetime_max[17],655362
lifetime_max[18],1310724
lifetime_max[19],2621425
lifetime_max[20],5242863
lifetime_max[21],10485751
lifetime_max[22],20971278
lifetime_max[23],41939641
lifetime_avg[0],2.500002
lifetime_avg[1],4.888377
lifetime_avg[2],9.384397
lifetime_avg[3],18.367266
lifetime_avg[4],36.354484
lifetime_avg[5],72.352656
lifetime_avg[6],144.324104
lifetime_avg[7],288.258235
lifetime_avg[8],576.142791
lifetime_avg[9],1151.920780
lifetime_avg[10],2303.731139
lifetime_avg[11],4606.998389
lifetime_avg[12],9213.389678
lifetime_avg[13],18422.133678
lifetime_avg[14],36836.419430
lifetime_avg[15],73645.736373
lifetime_avg[16],147185.296017
lifetime_avg[17],294046.056706
lifetime_avg[18],586574.221517
lifetime_avg[19],424971.197130
lifetime_avg[20],841648.002720
lifetime_avg[21],1650035.846552
lifetime_avg[22],3162825.596954
lifetime_avg[23],5731398.686851
lft_unused_avg[0],5.000003
lft_unused_avg[1],8.171777
lft_unused_avg[2],14.575868
lft_unused_avg[3],28.219653
lft_unused_avg[4],55.748987
lft_unused_avg[5],110.845879
lft_unused_avg[6],221.104940
lft_unused_avg[7],441.769131
lft_unused_avg[8],882.488869
lft_unused_avg[9],1764.581671
lft_unused_avg[10],3529.338788
lft_unused_avg[11],7058.600989
lft_unused_avg[12],14109.813306
lft_unused_avg[13],28220.986202
lft_unused_avg[14],56410.573583
lft_unused_avg[15],112678.168909
lft_unused_avg[16],224950.218793
lft_unused_avg[17],447829.426914
lft_unused_avg[18],888172.360314
lft_unused_avg[19],788615.334879
lft_unused_avg[20],1560160.855688
lft_unused_avg[21],3051600.839630
lft_unused_avg[22],5820635.408707
lft_unused_avg[23],10467082.339975
lft_unused_count[0],17208352
lft_unused_count[1],22641432
lft_unused_count[2],27730839
lft_unused_count[3],29786564
lft_unused_count[4],30702032
lft_unused_count[5],31143251
lft_unused_count[6],31359590
lft_unused_count[7],31453649
lft_unused_count[8],31523358
lft_unused_count[9],31548891
lft_unused_count[10],31552997
lft_unused_count[11],31561093
lft_unused_count[12],31579197
lft_unused_count[13],31578927
lft_unused_count[14],31589228
lft_unused_count[15],31619632
lft_unused_count[16],31642798
lft_unused_count[17],31730527
lft_unused_count[18],31876603
lft_unused_count[19],152221906
lft_unused_count[20],151725821
lft_unused_count[21],150720364
lft_unused_count[22],148740512
lft_unused_count[23],144750471
lft_unused_min[0],5
lft_unused_min[1],1
lft_unused_min[2],1
lft_unused_min[3],1
lft_unused_min[4],1
lft_unused_min[5],1
lft_unused_min[6],1
lft_unused_min[7],1
lft_unused_min[8],1
lft_unused_min[9],1
lft_unused_min[10],1
lft_unused_min[11],1
lft_unused_min[12],1
lft_unused_min[13],1
lft_unused_min[14],1
lft_unused_min[15],1
lft_unused_min[16],1
lft_unused_min[17],1
lft_unused_min[18],1
lft_unused_min[19],1
lft_unused_min[20],1
lft_unused_min[21],1
lft_unused_min[22],1
lft_unused_min[23],1
lft_unused_max[0],6
lft_unused_max[1],11
lft_unused_max[2],21
lft_unused_max[3],41
lft_unused_max[4],81
lft_unused_max[5],161
lft_unused_max[6],321
lft_unused_max[7],641
lft_unused_max[8],1281
lft_unused_max[9],2561
lft_unused_max[10],5121
lft_unused_max[11],10242
lft_unused_max[12],20482
lft_unused_max[13],40962
lft_unused_max[14],81922
lft_unused_max[15],163843
lft_unused_max[16],327683
lft_unused_max[17],655364
lft_unused_max[18],1310726
lft_unused_max[19],2621448
lft_unused_max[20],5242889
lft_unused_max[21],10485774
lft_unused_max[22],20971539
lft_unused_max[23],41943064
space,120061940
space_ratio,59.635414%
