Benchmark,mcf
exe_time,10000.000000
CYCLE_VAL,1399856634
tracectr,3000002
mem_clk,0
invokectr,1
oramctr,0
dummyctr,0
pos1_access,1
pos2_access,1
plb_hit0,0.000000%
plb_hit1,0.000000%
plb_hit2,0.000000%
plb_hit0,0
plb_hit1,0
plb_hit2,0
plbaccess0,1
plbaccess1,1
plbaccess2,1
oramQ_size,112
Bk_Evict,-nan%
Bk_Evict,0
Cache_Hit,66.666667%
Cache Evict,0.000000%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,0
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,0.000000%
midctr,0.000000%
botctr,100.000000%
ring_evictctr,0
stashctr,1
stash_cont,0
linger_discard,0
shuffctr,0
ringctr,3
wbctr,0
writectr,0
wskip,0
mem_req_late,0.000000
nonmemops_sum,49
missl1wb,0
missl1wb_rate,0.000000%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
