Benchmark,gcc
exe_time,0.000000
CYCLE_VAL,2
tracectr,2519185
invokectr,2519185
oramctr,0
dummyctr,0
pos1_access,372458
pos2_access,85138
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,66.154300%
midctr,23.338016%
botctr,10.507684%
stashctr,0
ringctr,2883091
ring_evictctr,576618
shuffctr,2559231
shuff_tc+,1478572
shuffctr_dram,1478572
shuffctr_nvm,0
nonmemops_sum,0
deadctr,11820596
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,56604619
dram_remote_r,62938365
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,40476312
dram_remote_w,74138329
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,11199964
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,11818477
deadQs,11803
shuff[0],0
shuff[1],51818
shuff[2],100714
shuff[3],119950
shuff[4],129052
shuff[5],133296
shuff[6],135424
shuff[7],136441
shuff[8],136871
shuff[9],137093
shuff[10],137269
shuff[11],137804
shuff[12],137785
shuff[13],137531
shuff[14],137569
shuff[15],137415
shuff[16],137038
shuff[17],136007
shuff[18],134689
shuff[19],131247
shuff[20],89781
shuff[21],21519
shuff[22],2679
shuff[23],239
realcount[0],83519
realcount[1],103394
realcount[2],129379
realcount[3],164245
realcount[4],192914
realcount[5],216246
realcount[6],222707
realcount[7],218115
realcount[8],206609
realcount[9],191530
realcount[10],178630
realcount[11],168049
realcount[12],159872
realcount[13],119233
realcount[14],79170
realcount[15],53751
realcount[16],36757
realcount[17],25942
realcount[18],16374
realcount[19],9126
realcount[20],4582
realcount[21],2318
realcount[22],3273
realcount[23],297355
dumcount[0],2799571
dumcount[1],2779696
dumcount[2],2753711
dumcount[3],2718845
dumcount[4],2690176
dumcount[5],2666844
dumcount[6],2660383
dumcount[7],2664975
dumcount[8],2676481
dumcount[9],2691560
dumcount[10],2704460
dumcount[11],2715041
dumcount[12],2723218
dumcount[13],2763857
dumcount[14],2803920
dumcount[15],2829339
dumcount[16],2846333
dumcount[17],2857148
dumcount[18],2866716
dumcount[19],2873964
dumcount[20],2878508
dumcount[21],2880772
dumcount[22],2879817
dumcount[23],2585735
s_dist[0],0
s_dist[1],2
s_dist[2],0
s_dist[3],1
s_dist[4],1
s_dist[5],295572
s_dist[6],0
s_dist[7],1182996
allocS_dist[0],0
allocS_dist[1],2
allocS_dist[2],2
allocS_dist[3],2
allocS_dist[4],2
allocS_dist[5],1
allocS_dist[6],2
allocS_dist[7],9551212
s_underctr,55035903
s_overctr,19102426
s_inctr,36946753
inplacectr,40476312
takenctr,55035912
extendctr,19102438
s_under[10],8
s_under[11],0
s_under[12],0
s_under[13],0
s_under[14],0
s_under[15],0
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],0
deadctr_arr[1],3
deadctr_arr[2],3
deadctr_arr[3],11
deadctr_arr[4],37
deadctr_arr[5],71
deadctr_arr[6],110
deadctr_arr[7],263
deadctr_arr[8],551
deadctr_arr[9],1070
deadctr_arr[10],2022
deadctr_arr[11],4374
deadctr_arr[12],8863
deadctr_arr[13],17602
deadctr_arr[14],35011
deadctr_arr[15],69971
