Benchmark,gcc
exe_time,3746.640625
CYCLE_VAL,3
tracectr,39000001
invokectr,38000001
oramctr,0
dummyctr,0
pos1_access,4965977
pos2_access,939847
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,71.381836%
midctr,19.610750%
botctr,9.007414%
stashctr,2
ringctr,42013618
ring_evictctr,8402717
shuffctr,81465083
shuff_tc+,65701830
shuffctr_dram,65701830
shuffctr_nvm,0
nonmemops_sum,286074392
deadctr,26861877
dram_norm_r,1504889586
nvm_norm_r,0
dram_norm_w,1833398680
nvm_norm_w,0
dram_inplace_r,0
dram_remote_r,0
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,0
dram_remote_w,0
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,0
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,33061
wmiss,87204
nonmemops_executed,11
dead_dram,26859682
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,0
rmpki,0.115568
wmpki,0.304830
supshuf_total,2297910
supshuf_horiz1,4336053
supshuf_horiz2,3483626
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],757047
shuff[2],1469817
shuff[3],1752823
shuff[4],1881949
shuff[5],1943387
shuff[6],1973438
shuff[7],1987964
shuff[8],1997474
shuff[9],1999354
shuff[10],4970343
shuff[11],4970523
shuff[12],4969620
shuff[13],4969053
shuff[14],4965877
shuff[15],4963920
shuff[16],4956216
shuff[17],4941381
shuff[18],4909188
shuff[19],4849990
shuff[20],4727271
shuff[21],4484020
shuff[22],3999052
shuff[23],3025376
realcount[0],1512713
realcount[1],2034432
realcount[2],2531618
realcount[3],2886400
realcount[4],3063637
realcount[5],3414912
realcount[6],3599690
realcount[7],3428650
realcount[8],2964289
realcount[9],2463289
realcount[10],2090442
realcount[11],1902888
realcount[12],1974766
realcount[13],1534678
realcount[14],985604
realcount[15],622651
realcount[16],402715
realcount[17],285052
realcount[18],208519
realcount[19],171956
realcount[20],150351
realcount[21],1368353
realcount[22],968375
realcount[23],1447609
dumcount[0],40500876
dumcount[1],39979157
dumcount[2],39481971
dumcount[3],39127189
dumcount[4],38949952
dumcount[5],38598677
