Benchmark,gcc
Experiment,noscan
exe_time,0.000000
CYCLE_VAL,2
tracectr,16205692
invokectr,16205692
oramctr,0
dummyctr,0
pos1_access,2147177
pos2_access,404822
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,70.896381%
midctr,19.976909%
botctr,9.126711%
stashctr,0
ringctr,17972065
ring_evictctr,3594410
shuffctr,17735408
shuff_tc+,10991353
shuffctr_dram,10991353
shuffctr_nvm,0
nonmemops_sum,0
deadctr,28739574
stash_hit,785626
dram_norm_r,0
dram_norm_w,0
dram_total_acc,0
dram_inplace_r,749005223
dram_remote_r,2090675
dram_inplace_w,717736840
dram_remote_w,13435039
remote_drams,11344364
surplus_dead,25165824
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,28737334
deadQs,0
shuff[0],0
shuff[1],324435
shuff[2],629034
shuff[3],749742
shuff[4],805528
shuff[5],830892
shuff[6],844858
shuff[7],851399
shuff[8],853559
shuff[9],854608
shuff[10],855791
shuff[11],856629
shuff[12],856181
shuff[13],856205
shuff[14],855793
shuff[15],852734
shuff[16],848405
shuff[17],839140
shuff[18],821564
shuff[19],785184
shuff[20],713578
shuff[21],572210
shuff[22],287454
shuff[23],990485
realcount[0],658747
realcount[1],879985
realcount[2],1093125
realcount[3],1244182
realcount[4],1305349
realcount[5],1430987
realcount[6],1508136
realcount[7],1435110
realcount[8],1239105
realcount[9],1041340
realcount[10],905467
realcount[11],836346
realcount[12],863786
realcount[13],672245
realcount[14],434379
realcount[15],273720
realcount[16],176675
realcount[17],123387
realcount[18],86675
realcount[19],67687
realcount[20],55360
realcount[21],322785
realcount[22],232645
realcount[23],1084827
dumcount[0],17313303
dumcount[1],17092065
dumcount[2],16878925
dumcount[3],16727868
dumcount[4],16666701
dumcount[5],16541063
dumcount[6],16463914
dumcount[7],16536940
dumcount[8],16732945
dumcount[9],16930710
dumcount[10],17066583
dumcount[11],17135704
dumcount[12],17108264
dumcount[13],17299805
dumcount[14],17537671
dumcount[15],17698330
dumcount[16],17795375
dumcount[17],17848663
dumcount[18],17885375
dumcount[19],17904363
dumcount[20],17916690
dumcount[21],17649265
dumcount[22],17739405
dumcount[23],16887223
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],975548
s_dist[5],0
s_dist[6],14937
s_dist[7],0
allocS_dist[0],0
allocS_dist[1],9
allocS_dist[2],22
allocS_dist[3],32
allocS_dist[4],34
allocS_dist[5],39
allocS_dist[6],4584758
allocS_dist[7],0
s_underctr,4265484
s_overctr,9169555
s_inctr,677798108
inplacectr,717736840
takenctr,4265548
extendctr,9169692
s_under[23],63
deadctr_arr[0],0
deadctr_arr[1],2
deadctr_arr[2],6
deadctr_arr[3],18
deadctr_arr[4],33
deadctr_arr[5],73
deadctr_arr[6],120
deadctr_arr[7],284
deadctr_arr[8],574
deadctr_arr[9],1130
deadctr_arr[10],2250
deadctr_arr[11],4366
deadctr_arr[12],8897
deadctr_arr[13],17690
deadctr_arr[14],34969
deadctr_arr[15],70081
deadctr_arr[16],140285
deadctr_arr[17],280144
deadctr_arr[18],561173
deadctr_arr[19],1123939
deadctr_arr[20],2246549
deadctr_arr[21],4493604
deadctr_arr[22],8970170
deadctr_arr[23],10783217
ep_s[10][0],402122
ep_s[10][1],355809
ep_s[10][2],432583
ep_s[10][3],569622
ep_s[10][4],659703
ep_s[10][5],643572
ep_s[10][6],531586
ep_s[11][0],401450
ep_s[11][1],356504
ep_s[11][2],434090
ep_s[11][3],569777
ep_s[11][4],658636
ep_s[11][5],644027
ep_s[11][6],530129
ep_s[12][0],401838
ep_s[12][1],356719
ep_s[12][2],432062
ep_s[12][3],570924
ep_s[12][4],659518
ep_s[12][5],643587
ep_s[12][6],529883
ep_s[13][0],403013
ep_s[13][1],356908
ep_s[13][2],433982
ep_s[13][3],568961
ep_s[13][4],659197
ep_s[13][5],642599
ep_s[13][6],529829
ep_s[14][0],404093
ep_s[14][1],358285
ep_s[14][2],433840
ep_s[14][3],569162
ep_s[14][4],660563
ep_s[14][5],640364
ep_s[14][6],528127
ep_s[15][0],404483
ep_s[15][1],359767
ep_s[15][2],435191
ep_s[15][3],570114
ep_s[15][4],658372
ep_s[15][5],640271
ep_s[15][6],526232
ep_s[16][0],409011
ep_s[16][1],363308
ep_s[16][2],436733
ep_s[16][3],568531
ep_s[16][4],656878
ep_s[16][5],636738
ep_s[16][6],523221
ep_s[17][0],415850
ep_s[17][1],370750
ep_s[17][2],440091
ep_s[17][3],568682
ep_s[17][4],651192
ep_s[17][5],630926
ep_s[17][6],516918
ep_s[18][0],430884
ep_s[18][1],383950
ep_s[18][2],449139
ep_s[18][3],567997
ep_s[18][4],642212
ep_s[18][5],616545
ep_s[18][6],503686
ep_s[19][0],460571
ep_s[19][1],411134
ep_s[19][2],466059
ep_s[19][3],564979
ep_s[19][4],623706
ep_s[19][5],588974
ep_s[19][6],478990
ep_s[20][0],520343
ep_s[20][1],467266
ep_s[20][2],497117
ep_s[20][3],559638
ep_s[20][4],586757
ep_s[20][5],536721
ep_s[20][6],426568
ep_s[21][0],641007
ep_s[21][1],579258
ep_s[21][2],560581
ep_s[21][3],552151
ep_s[21][4],511473
ep_s[21][5],429429
ep_s[21][6],320511
ep_s[22][0],886339
ep_s[22][1],802989
ep_s[22][2],683706
ep_s[22][3],523764
ep_s[22][4],359511
ep_s[22][5],218641
ep_s[22][6],119460
ep_s[23][0],1592160
ep_s[23][1],1096205
ep_s[23][2],618222
ep_s[23][3],287059
ep_s[23][4],627
ep_s[23][5],137
ep_s[23][6],0
ep_shuf[0],3431278
ep_shuf[1],163101
ep_shuf[2],31
ep_shuf[3],0
ep_shuf[4],0
ep_shuf[5],0
ep_shuf[6],0
ep_shuf[7],0
ep_shuf[8],0
ep_shuf[9],0
ep_shuf[10],0
ep_shuf[11],0
ep_shuf[12],0
ep_shuf[13],0
ep_shuf[14],0
ep_shuf[15],0
ep_shuf[16],0
ep_shuf[17],0
ep_shuf[18],0
ep_shuf[19],0
ep_shuf[20],0
ep_shuf[21],0
same_bucket,0
remote_under,3642978
remote_over,7701386
count_min[0],5
count_min[1],1
count_min[2],1
count_min[3],1
count_min[4],1
count_min[5],1
count_min[6],1
count_min[7],1
count_min[8],1
count_min[9],1
count_min[10],1
count_min[11],1
count_min[12],1
count_min[13],1
count_min[14],1
count_min[15],1
count_min[16],1
count_min[17],1
count_min[18],1
count_min[19],1
count_min[20],1
count_min[21],1
count_min[22],1
count_min[23],1
count_max[0],5
count_max[1],10
count_max[2],16
count_max[3],18
count_max[4],19
count_max[5],19
count_max[6],19
count_max[7],20
count_max[8],19
count_max[9],19
count_max[10],21
count_max[11],20
count_max[12],20
count_max[13],20
count_max[14],19
count_max[15],19
count_max[16],19
count_max[17],19
count_max[18],21
count_max[19],19
count_max[20],21
count_max[21],19
count_max[22],17
count_max[23],16
count_avg[0],5.000000
count_avg[1],5.005145
count_avg[2],5.016296
count_avg[3],5.024244
count_avg[4],5.028912
count_avg[5],5.031247
count_avg[6],5.032643
count_avg[7],5.033269
count_avg[8],5.033325
count_avg[9],5.033381
count_avg[10],5.033453
count_avg[11],5.033199
count_avg[12],5.031957
count_avg[13],5.030254
count_avg[14],5.026764
count_avg[15],5.019554
count_avg[16],5.005912
count_avg[17],4.977248
count_avg[18],4.920022
count_avg[19],4.802168
count_avg[20],4.557120
count_avg[21],4.019425
count_avg[22],2.782361
count_avg[23],2.052741
lifetime_min[0],1
lifetime_min[1],1
lifetime_min[2],1
lifetime_min[3],1
lifetime_min[4],1
lifetime_min[5],1
lifetime_min[6],1
lifetime_min[7],1
lifetime_min[8],1
lifetime_min[9],1
lifetime_min[10],1
lifetime_min[11],1
lifetime_min[12],1
lifetime_min[13],1
lifetime_min[14],1
lifetime_min[15],1
lifetime_min[16],1
lifetime_min[17],1
lifetime_min[18],1
lifetime_min[19],1
lifetime_min[20],1
lifetime_min[21],1
lifetime_min[22],2
lifetime_min[23],11
lifetime_max[0],5
lifetime_max[1],10
lifetime_max[2],20
lifetime_max[3],40
lifetime_max[4],80
lifetime_max[5],160
lifetime_max[6],320
lifetime_max[7],640
lifetime_max[8],1280
