Benchmark,gcc
exe_time,0.734375
CYCLE_VAL,3
tracectr,9997
invokectr,3247
oramctr,0
dummyctr,0
pos1_access,1159
pos2_access,454
Bk_Evict,0
Cache_Hit,67.530259%
Cache Evict,0.000000%
hitctr,6751
missctr,3246
earlyctr,0
topctr,8.065844%
midctr,0.432099%
botctr,91.502058%
stashctr,0
ringctr,4860
ring_evictctr,972
shuffctr,2175
shuff_tc+,487
shuffctr_dram,487
shuffctr_nvm,0
nonmemops_sum,2657429
deadctr,64030
dram_norm_r,138515
nvm_norm_r,0
dram_norm_w,140950
nvm_norm_w,0
dram_inplace_r,0
dram_remote_r,0
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,0
dram_remote_w,0
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,0
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,1397
wmiss,1849
nonmemops_executed,11
dead_dram,61849
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,0
rmpki,0.525781
wmpki,0.695898
supshuf_total,0
supshuf_horiz1,0
supshuf_horiz2,0
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],82
shuff[2],180
shuff[3],221
shuff[4],218
shuff[5],213
shuff[6],218
shuff[7],208
shuff[8],192
shuff[9],156
shuff[10],330
shuff[11],137
shuff[12],18
shuff[13],2
shuff[14],0
shuff[15],0
shuff[16],0
shuff[17],0
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
realcount[0],20
realcount[1],14
realcount[2],16
realcount[3],19
realcount[4],39
realcount[5],36
realcount[6],48
realcount[7],64
realcount[8],74
realcount[9],38
realcount[10],24
realcount[11],11
realcount[12],2
realcount[13],5
realcount[14],0
realcount[15],1
realcount[16],0
realcount[17],2
realcount[18],0
realcount[19],0
realcount[20],0
realcount[21],1
realcount[22],62
realcount[23],4384
dumcount[0],4840
dumcount[1],4846
dumcount[2],4844
dumcount[3],4841
dumcount[4],4821
dumcount[5],4824
dumcount[6],4812
dumcount[7],4796
dumcount[8],4786
dumcount[9],4822
dumcount[10],4836
dumcount[11],4849
dumcount[12],4858
dumcount[13],4855
dumcount[14],4860
dumcount[15],4859
dumcount[16],4860
dumcount[17],4858
dumcount[18],4860
dumcount[19],4860
dumcount[20],4860
dumcount[21],4859
dumcount[22],4798
dumcount[23],476
supcount_dist[0],0
supcount_dist[1],0
supcount_dist[2],0
supcount_dist[3],0
supcount_dist[4],0
supcount_dist[5],0
supcount_dist[6],0
supcount_dist[7],0
supcount_dist[8],0
supcount_dist[9],0
supcount_dist[10],0
supcount_dist[11],0
supcount_dist[12],0
supcount_dist[13],0
supcount_dist[14],0
supcount_dist[15],0
supcount_dist[16],0
supcount_dist[17],0
supcount_dist[18],0
supcount_dist[19],0
supcount_dist[20],0
suphoriz1_dist[0],0
suphoriz1_dist[1],0
suphoriz1_dist[2],0
suphoriz1_dist[3],0
suphoriz1_dist[4],0
suphoriz1_dist[5],0
suphoriz1_dist[6],0
suphoriz1_dist[7],0
suphoriz1_dist[8],0
suphoriz2_dist[0],0
suphoriz2_dist[1],0
suphoriz2_dist[2],0
suphoriz2_dist[3],0
suphoriz2_dist[4],0
suphoriz2_dist[5],0
suphoriz2_dist[6],0
suphoriz2_dist[7],0
suphoriz2_dist[8],0
ephoriz1_dist[0],0
ephoriz1_dist[1],0
ephoriz1_dist[2],0
ephoriz1_dist[3],0
ephoriz1_dist[4],0
ephoriz1_dist[5],0
ephoriz1_dist[6],0
ephoriz1_dist[7],0
ephoriz1_dist[8],0
ephoriz2_dist[0],0
ephoriz2_dist[1],0
ephoriz2_dist[2],0
ephoriz2_dist[3],0
ephoriz2_dist[4],0
ephoriz2_dist[5],0
ephoriz2_dist[6],0
ephoriz2_dist[7],0
ephoriz2_dist[8],0
