Benchmark,gcc
exe_time,5051.203125
CYCLE_VAL,3
tracectr,39000001
invokectr,38000001
oramctr,0
dummyctr,0
pos1_access,4966515
pos2_access,939844
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,71.384846%
midctr,19.608276%
botctr,9.006878%
stashctr,4
ringctr,42014301
ring_evictctr,8402853
shuffctr,82038643
shuff_tc+,66265777
shuffctr_dram,66265777
shuffctr_nvm,0
nonmemops_sum,286074382
deadctr,29174896
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,1478020788
dram_remote_r,29707573
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,1788541633
dram_remote_w,43679645
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,13972072
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,33062
wmiss,87204
nonmemops_executed,11
dead_dram,29172611
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,17
rmpki,0.115571
wmpki,0.304830
supshuf_total,2298081
supshuf_horiz1,4335962
supshuf_horiz2,3484152
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],758272
shuff[2],1470204
shuff[3],1753653
shuff[4],1882603
shuff[5],1943947
shuff[6],1974547
shuff[7],1990290
shuff[8],1998248
shuff[9],2001102
shuff[10],4971058
shuff[11],4972320
shuff[12],4972888
shuff[13],4977655
shuff[14],4983386
shuff[15],4994932
shuff[16],5020394
shuff[17],5069292
shuff[18],5163377
shuff[19],5255084
shuff[20],5142494
shuff[21],4638630
shuff[22],3781291
shuff[23],2322976
realcount[0],1511364
realcount[1],2033130
realcount[2],2534551
realcount[3],2884967
realcount[4],3065543
realcount[5],3413331
realcount[6],3600701
realcount[7],3429429
realcount[8],2967002
realcount[9],2462223
realcount[10],2089581
realcount[11],1900218
realcount[12],1977965
realcount[13],1533392
realcount[14],987783
realcount[15],621909
realcount[16],401836
realcount[17],284082
realcount[18],208085
realcount[19],172179
realcount[20],150825
realcount[21],1368397
realcount[22],967758
realcount[23],1448018
dumcount[0],40502905
dumcount[1],39981139
dumcount[2],39479718
dumcount[3],39129302
dumcount[4],38948726
dumcount[5],38600938
dumcount[6],38413568
dumcount[7],38584840
dumcount[8],39047267
dumcount[9],39552046
dumcount[10],39924688
dumcount[11],40114051
dumcount[12],40036304
dumcount[13],40480877
dumcount[14],41026486
dumcount[15],41392360
dumcount[16],41612433
dumcount[17],41730187
dumcount[18],41806184
dumcount[19],41842090
dumcount[20],41863444
dumcount[21],40645872
dumcount[22],41046511
dumcount[23],40566251
supcount_dist[0],593263
supcount_dist[1],0
supcount_dist[2],463892
supcount_dist[3],0
supcount_dist[4],357554
supcount_dist[5],0
supcount_dist[6],258338
supcount_dist[7],0
supcount_dist[8],174754
supcount_dist[9],0
supcount_dist[10],1104461
supcount_dist[11],0
supcount_dist[12],649440
supcount_dist[13],0
supcount_dist[14],943970
supcount_dist[15],0
supcount_dist[16],850527
