Experiment,plus40m
exe_time,0.000000
CYCLE_VAL,2
tracectr,26751933
invokectr,26751933
oramctr,0
dummyctr,0
pos1_access,3523715
pos2_access,670136
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,71.216089%
midctr,19.757391%
botctr,9.026520%
stashctr,0
ringctr,29644003
ring_evictctr,5928794
shuffctr,29560198
shuff_tc+,18433628
shuffctr_dram,18433628
shuffctr_nvm,0
nonmemops_sum,0
deadctr,33165250
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,917201730
dram_remote_r,4997570
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,1188306228
dram_remote_w,28933580
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,23936010
remote_nvms,0
surplus_dead,16777216
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,33163112
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,0
rmpki,-nan
wmpki,-nan
supshuf_total,740151
supshuf_horiz1,2778511
supshuf_horiz2,1736470
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],534639
shuff[2],1036866
shuff[3],1238066
shuff[4],1327999
shuff[5],1371915
shuff[6],1393243
shuff[7],1402507
shuff[8],1408958
shuff[9],1412377
shuff[10],1412678
shuff[11],1412484
shuff[12],1413219
shuff[13],1412919
shuff[14],1411196
shuff[15],1410108
shuff[16],1405276
shuff[17],1395266
shuff[18],1378752
shuff[19],1341760
shuff[20],1270338
shuff[21],1128400
shuff[22],842656
shuff[23],1198576
realcount[0],1072706
realcount[1],1437043
realcount[2],1786946
realcount[3],2036103
realcount[4],2155955
realcount[5],2376976
realcount[6],2513140
realcount[7],2407832
realcount[8],2092367
realcount[9],1743720
realcount[10],1488488
realcount[11],1359877
realcount[12],1404241
realcount[13],1092032
realcount[14],704215
realcount[15],443871
realcount[16],286628
realcount[17],202833
realcount[18],144759
realcount[19],116375
realcount[20],102044
realcount[21],828274
