Benchmark,gcc
exe_time,5384.500000
CYCLE_VAL,3
tracectr,39000001
invokectr,8000001
oramctr,0
dummyctr,0
pos1_access,1415799
pos2_access,207718
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,70.861985%
midctr,20.167088%
botctr,8.970927%
stashctr,-1
ringctr,9546998
ring_evictctr,1909373
shuffctr,19610234
shuff_tc+,16028273
shuffctr_dram,16028273
shuffctr_nvm,0
nonmemops_sum,286074362
deadctr,27288603
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,339468722
dram_remote_r,7984863
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,412626751
dram_remote_w,19599643
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,11614780
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,33063
wmiss,87205
nonmemops_executed,11
dead_dram,27286342
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,5026
rmpki,0.115575
wmpki,0.304834
supshuf_total,2379469
supshuf_horiz1,4416547
supshuf_horiz2,3565828
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],171877
shuff[2],334184
shuff[3],398444
shuff[4],427355
shuff[5],441717
shuff[6],447840
shuff[7],452082
shuff[8],453804
shuff[9],454658
shuff[10],1130288
shuff[11],1130733
shuff[12],1134516
shuff[13],1138538
shuff[14],1146421
shuff[15],1163337
shuff[16],1193904
shuff[17],1229931
shuff[18],1232718
shuff[19],1181008
shuff[20],1105376
