Benchmark,gcc
exe_time,2585.218750
CYCLE_VAL,3
tracectr,39000001
invokectr,8000001
oramctr,0
dummyctr,0
pos1_access,1415655
pos2_access,207784
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,70.862466%
midctr,20.166461%
botctr,8.971073%
stashctr,-1
ringctr,9546454
ring_evictctr,1909269
shuffctr,19599948
shuff_tc+,16016065
shuffctr_dram,16016065
shuffctr_nvm,0
nonmemops_sum,286074362
deadctr,27308703
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,339155501
dram_remote_r,8222484
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,412358155
dram_remote_w,19483839
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,11261355
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,33063
wmiss,87205
nonmemops_executed,11
dead_dram,27306520
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,12
rmpki,0.115575
wmpki,0.304834
supshuf_total,2381150
supshuf_horiz1,4417481
supshuf_horiz2,3565509
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],172343
shuff[2],333890
shuff[3],398151
shuff[4],428109
shuff[5],442185
shuff[6],448812
shuff[7],452534
shuff[8],453348
shuff[9],454511
shuff[10],1130931
shuff[11],1132653
shuff[12],1133996
shuff[13],1138621
shuff[14],1147631
shuff[15],1164296
shuff[16],1194994
shuff[17],1223169
shuff[18],1219380
shuff[19],1171381
shuff[20],1108666
shuff[21],1028407
shuff[22],1098011
shuff[23],1123929
realcount[0],1550277
realcount[1],2050458
realcount[2],2537451
realcount[3],2887772
realcount[4],3069940
realcount[5],3408849
realcount[6],3601592
realcount[7],3443413
realcount[8],2974894
realcount[9],2469853
realcount[10],2094843
realcount[11],1904099
realcount[12],1975902
realcount[13],1542299
realcount[14],994954
realcount[15],628215
realcount[16],405501
realcount[17],287340
realcount[18],209811
realcount[19],172359
realcount[20],150594
realcount[21],1360625
realcount[22],974264
realcount[23],1451946
dumcount[0],41114790
dumcount[1],40614609
dumcount[2],40127616
dumcount[3],39777295
dumcount[4],39595127
dumcount[5],39256218
dumcount[6],39063475
dumcount[7],39221654
dumcount[8],39690173
dumcount[9],40195214
dumcount[10],40570224
dumcount[11],40760968
dumcount[12],40689165
dumcount[13],41122768
dumcount[14],41670113
dumcount[15],42036852
dumcount[16],42259566
dumcount[17],42377727
dumcount[18],42455256
dumcount[19],42492708
dumcount[20],42514473
