Benchmark,gcc
exe_time,134.796875
CYCLE_VAL,36353962
tracectr,99997
invokectr,17930
oramctr,0
dummyctr,0
pos1_access,4126
pos2_access,1401
Bk_Evict,0
Cache_Hit,82.079462%
Cache Evict,0.055804%
hitctr,82077
missctr,17920
earlyctr,0
topctr,6.121840%
midctr,2.510978%
botctr,91.367183%
stashctr,3
ringctr,23457
ring_evictctr,4691
shuffctr,16109
shuff_tc+,7369
shuffctr_dram,7369
shuffctr_nvm,0
nonmemops_sum,28644733
deadctr,254776
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,681735
dram_remote_r,11878
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,708692
dram_remote_w,129413
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,117535
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,6956
wmiss,10964
nonmemops_executed,28644359
dead_dram,252601
Reads_chan[0],304724 
Writes_chan[0],338299 
R_Latency_chan[0],305.85187
R_Q_Latency_chan[0],245.85187
W_Latency_chan[0],974.72032
W_Q_Latency_chan[0],910.72032
Reads_chan[1],291953 
Writes_chan[1],335305 
R_Latency_chan[1],299.22855
R_Q_Latency_chan[1],239.22855
W_Latency_chan[1],937.45395
W_Q_Latency_chan[1],873.45395
Reads_chan[2],221403 
Writes_chan[2],249717 
R_Latency_chan[2],260.39051
R_Q_Latency_chan[2],200.39051
W_Latency_chan[2],696.20106
W_Q_Latency_chan[2],632.20106
Reads_chan[3],269385 
Writes_chan[3],298805 
R_Latency_chan[3],309.67788
R_Q_Latency_chan[3],249.67788
W_Latency_chan[3],911.80902
W_Q_Latency_chan[3],847.80902
All_R,1087465
All_W,1222126
dram_R,818080
dram_W,923321
DRAM/NVM_R#,3.036843
DRAM/NVM_W#,3.090045
online_wait_dram,1671036
online_wait_nvm,0
evict_wait_dram,2282466
evict_wait_nvm,0
reshuffle_wait_dram,1389246
reshuffle_wait_nvm,0
meta_wait_dram,16430628
online_wait_dram_perAcc,20.353914
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,8.177540
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,44.359346
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,83.388964
odram,3174
onvm,0
envm,0
edram,1938
rnvm,0
rdram,3830
mdram,23454
lrs_ctr,34432
deadQs,54
rmpki,0.242843
wmpki,0.382768
supshuf_total,0
supshuf_horiz1,0
supshuf_horiz2,0
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],431
shuff[2],832
shuff[3],993
shuff[4],1086
shuff[5],1090
shuff[6],1082
shuff[7],1093
shuff[8],1086
shuff[9],1047
shuff[10],2662
shuff[11],2227
shuff[12],1475
shuff[13],779
shuff[14],196
shuff[15],29
shuff[16],1
shuff[17],0
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
realcount[0],15
realcount[1],29
realcount[2],41
realcount[3],50
realcount[4],60
realcount[5],90
realcount[6],120
realcount[7],197
realcount[8],244
realcount[9],284
realcount[10],306
realcount[11],262
realcount[12],168
realcount[13],74
realcount[14],40
realcount[15],14
realcount[16],19
realcount[17],6
realcount[18],4
realcount[19],2
realcount[20],0
realcount[21],2
realcount[22],199
realcount[23],21231
dumcount[0],23442
dumcount[1],23428
dumcount[2],23416
dumcount[3],23407
dumcount[4],23397
dumcount[5],23367
dumcount[6],23337
dumcount[7],23260
dumcount[8],23213
dumcount[9],23173
dumcount[10],23151
dumcount[11],23195
dumcount[12],23289
dumcount[13],23383
dumcount[14],23417
dumcount[15],23443
dumcount[16],23438
dumcount[17],23451
dumcount[18],23453
dumcount[19],23455
dumcount[20],23457
dumcount[21],23455
dumcount[22],23258
dumcount[23],2226
supcount_dist[0],0
supcount_dist[1],0
supcount_dist[2],0
supcount_dist[3],0
supcount_dist[4],0
supcount_dist[5],0
supcount_dist[6],0
supcount_dist[7],0
supcount_dist[8],0
supcount_dist[9],0
supcount_dist[10],0
supcount_dist[11],0
supcount_dist[12],0
supcount_dist[13],0
supcount_dist[14],0
supcount_dist[15],0
supcount_dist[16],0
supcount_dist[17],0
supcount_dist[18],0
supcount_dist[19],0
supcount_dist[20],0
suphoriz1_dist[0],0
suphoriz1_dist[1],0
suphoriz1_dist[2],0
suphoriz1_dist[3],0
suphoriz1_dist[4],0
suphoriz1_dist[5],0
suphoriz1_dist[6],0
suphoriz1_dist[7],0
suphoriz1_dist[8],0
suphoriz2_dist[0],0
suphoriz2_dist[1],0
suphoriz2_dist[2],0
suphoriz2_dist[3],0
suphoriz2_dist[4],0
suphoriz2_dist[5],0
suphoriz2_dist[6],0
suphoriz2_dist[7],0
suphoriz2_dist[8],0
ephoriz1_dist[0],0
ephoriz1_dist[1],0
ephoriz1_dist[2],0
ephoriz1_dist[3],0
ephoriz1_dist[4],0
ephoriz1_dist[5],0
ephoriz1_dist[6],0
ephoriz1_dist[7],0
ephoriz1_dist[8],0
ephoriz2_dist[0],0
ephoriz2_dist[1],0
ephoriz2_dist[2],0
ephoriz2_dist[3],0
ephoriz2_dist[4],0
ephoriz2_dist[5],0
ephoriz2_dist[6],0
ephoriz2_dist[7],0
ephoriz2_dist[8],0
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],2534
s_dist[5],3772
s_dist[6],547
s_dist[7],9256
