Benchmark,gcc
exe_time,347.578125
CYCLE_VAL,36373560
tracectr,99997
invokectr,17930
oramctr,0
dummyctr,0
pos1_access,4122
pos2_access,1401
Bk_Evict,0
Cache_Hit,82.079462%
Cache Evict,0.055804%
hitctr,82077
missctr,17920
earlyctr,0
topctr,6.050399%
midctr,2.566836%
botctr,91.382766%
stashctr,3
ringctr,23453
ring_evictctr,4690
shuffctr,16041
shuff_tc+,7376
shuffctr_dram,7376
shuffctr_nvm,0
nonmemops_sum,28644733
deadctr,254803
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,681624
dram_remote_r,11898
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,708609
dram_remote_w,129521
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,117623
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,6956
wmiss,10964
nonmemops_executed,28644358
dead_dram,252625
Reads_chan[0],304551 
Writes_chan[0],337885 
R_Latency_chan[0],305.62626
R_Q_Latency_chan[0],245.62626
W_Latency_chan[0],973.68186
W_Q_Latency_chan[0],909.68186
Reads_chan[1],292156 
Writes_chan[1],335213 
R_Latency_chan[1],300.94400
R_Q_Latency_chan[1],240.94400
W_Latency_chan[1],940.57281
W_Q_Latency_chan[1],876.57281
Reads_chan[2],221337 
Writes_chan[2],249869 
R_Latency_chan[2],261.04379
R_Q_Latency_chan[2],201.04379
W_Latency_chan[2],696.13755
W_Q_Latency_chan[2],632.13755
Reads_chan[3],269351 
Writes_chan[3],299134 
R_Latency_chan[3],308.59940
R_Q_Latency_chan[3],248.59940
W_Latency_chan[3],910.39430
W_Q_Latency_chan[3],846.39430
All_R,1087395
All_W,1222101
dram_R,818044
dram_W,922967
DRAM/NVM_R#,3.037093
DRAM/NVM_W#,3.085463
online_wait_dram,1672336
online_wait_nvm,0
evict_wait_dram,2221979
evict_wait_nvm,0
reshuffle_wait_dram,1358517
reshuffle_wait_nvm,0
meta_wait_dram,16415087
online_wait_dram_perAcc,20.373223
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,7.962513
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,43.336640
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,83.324892
odram,3168
onvm,0
envm,0
edram,1881
rnvm,0
rdram,3807
mdram,23451
lrs_ctr,34514
deadQs,91
rmpki,0.242843
wmpki,0.382768
supshuf_total,0
supshuf_horiz1,0
supshuf_horiz2,0
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],408
shuff[2],831
shuff[3],972
shuff[4],1056
shuff[5],1079
shuff[6],1090
shuff[7],1098
shuff[8],1062
shuff[9],1069
shuff[10],2662
shuff[11],2213
shuff[12],1489
shuff[13],795
shuff[14],190
shuff[15],26
shuff[16],1
shuff[17],0
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
realcount[0],26
realcount[1],18
realcount[2],38
realcount[3],51
realcount[4],64
realcount[5],93
realcount[6],125
realcount[7],201
realcount[8],208
realcount[9],316
realcount[10],279
realcount[11],267
realcount[12],167
realcount[13],74
realcount[14],41
realcount[15],25
realcount[16],19
realcount[17],5
realcount[18],3
realcount[19],1
realcount[20],0
realcount[21],2
realcount[22],199
realcount[23],21231
dumcount[0],23427
dumcount[1],23435
dumcount[2],23415
dumcount[3],23402
dumcount[4],23389
dumcount[5],23360
dumcount[6],23328
dumcount[7],23252
dumcount[8],23245
dumcount[9],23137
dumcount[10],23174
dumcount[11],23186
dumcount[12],23286
dumcount[13],23379
dumcount[14],23412
dumcount[15],23428
dumcount[16],23434
dumcount[17],23448
dumcount[18],23450
dumcount[19],23452
dumcount[20],23453
dumcount[21],23451
dumcount[22],23254
dumcount[23],2222
supcount_dist[0],0
supcount_dist[1],0
supcount_dist[2],0
supcount_dist[3],0
supcount_dist[4],0
supcount_dist[5],0
supcount_dist[6],0
supcount_dist[7],0
supcount_dist[8],0
supcount_dist[9],0
supcount_dist[10],0
supcount_dist[11],0
supcount_dist[12],0
supcount_dist[13],0
supcount_dist[14],0
supcount_dist[15],0
supcount_dist[16],0
supcount_dist[17],0
supcount_dist[18],0
supcount_dist[19],0
supcount_dist[20],0
suphoriz1_dist[0],0
suphoriz1_dist[1],0
suphoriz1_dist[2],0
suphoriz1_dist[3],0
suphoriz1_dist[4],0
suphoriz1_dist[5],0
suphoriz1_dist[6],0
suphoriz1_dist[7],0
suphoriz1_dist[8],0
suphoriz2_dist[0],0
suphoriz2_dist[1],0
suphoriz2_dist[2],0
suphoriz2_dist[3],0
suphoriz2_dist[4],0
suphoriz2_dist[5],0
suphoriz2_dist[6],0
suphoriz2_dist[7],0
suphoriz2_dist[8],0
ephoriz1_dist[0],0
ephoriz1_dist[1],0
ephoriz1_dist[2],0
ephoriz1_dist[3],0
ephoriz1_dist[4],0
ephoriz1_dist[5],0
ephoriz1_dist[6],0
ephoriz1_dist[7],0
ephoriz1_dist[8],0
ephoriz2_dist[0],0
ephoriz2_dist[1],0
ephoriz2_dist[2],0
ephoriz2_dist[3],0
ephoriz2_dist[4],0
ephoriz2_dist[5],0
ephoriz2_dist[6],0
ephoriz2_dist[7],0
ephoriz2_dist[8],0
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],2580
s_dist[5],3744
s_dist[6],514
s_dist[7],9203
