Experiment,qrw
exe_time,3688.687500
CYCLE_VAL,3
tracectr,39000001
invokectr,38000001
oramctr,0
dummyctr,0
pos1_access,4966417
pos2_access,939969
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,71.395602%
midctr,19.598754%
botctr,9.005644%
stashctr,4
ringctr,42014878
ring_evictctr,8402969
shuffctr,42629598
shuff_tc+,26862664
shuffctr_dram,26862664
shuffctr_nvm,0
nonmemops_sum,286074382
deadctr,35748015
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,1301384150
dram_remote_r,9344886
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,1694094863
dram_remote_w,31157652
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,21812766
remote_nvms,0
surplus_dead,16777216
surplus_in_use,0
rmiss,33062
wmiss,87204
nonmemops_executed,11
dead_dram,35745737
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
