Benchmark,gcc
exe_time,0.000000
CYCLE_VAL,2
tracectr,769079
invokectr,769079
oramctr,0
dummyctr,0
pos1_access,117636
pos2_access,27821
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,65.324851%
midctr,22.763163%
botctr,11.911986%
stashctr,0
ringctr,888945
ring_evictctr,177789
shuffctr,718070
shuff_tc+,384175
shuffctr_dram,384175
shuffctr_nvm,0
nonmemops_sum,0
deadctr,5118650
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,22150637
dram_remote_r,14721541
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,15682362
dram_remote_w,18796279
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,4074738
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,5116424
deadQs,33323
shuff[0],0
shuff[1],16239
shuff[2],31064
shuff[3],37168
shuff[4],39684
shuff[5],41124
shuff[6],41838
shuff[7],42127
shuff[8],42294
shuff[9],42357
shuff[10],42315
shuff[11],42231
shuff[12],42536
shuff[13],42117
shuff[14],42092
shuff[15],42179
shuff[16],41713
shuff[17],40879
shuff[18],35016
shuff[19],11329
shuff[20],1610
shuff[21],147
shuff[22],11
shuff[23],0
realcount[0],22866
realcount[1],28609
realcount[2],36562
realcount[3],47731
realcount[4],58575
realcount[5],65800
realcount[6],67945
realcount[7],68757
realcount[8],65670
realcount[9],61016
realcount[10],57171
realcount[11],53146
realcount[12],49293
realcount[13],36850
realcount[14],24403
realcount[15],16459
realcount[16],10658
realcount[17],6240
realcount[18],2990
realcount[19],1548
realcount[20],765
realcount[21],365
realcount[22],981
realcount[23],104545
dumcount[0],866079
dumcount[1],860336
dumcount[2],852383
dumcount[3],841214
dumcount[4],830370
dumcount[5],823145
dumcount[6],821000
dumcount[7],820188
dumcount[8],823275
dumcount[9],827929
dumcount[10],831774
dumcount[11],835799
dumcount[12],839652
dumcount[13],852095
dumcount[14],864542
dumcount[15],872486
dumcount[16],878287
dumcount[17],882705
dumcount[18],885955
dumcount[19],887397
dumcount[20],888180
dumcount[21],888580
dumcount[22],887964
dumcount[23],784400
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],92267
s_dist[6],0
s_dist[7],291908
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],2
allocS_dist[6],0
allocS_dist[7],2873218
s_underctr,13049843
s_overctr,5746436
s_inctr,14412728
inplacectr,15682362
takenctr,13049844
extendctr,5746439
s_under[10],0
s_under[11],0
s_under[12],0
s_under[13],0
s_under[14],0
s_under[15],0
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],0
deadctr_arr[1],2
deadctr_arr[2],6
deadctr_arr[3],17
deadctr_arr[4],33
deadctr_arr[5],65
deadctr_arr[6],148
deadctr_arr[7],290
deadctr_arr[8],565
deadctr_arr[9],1100
deadctr_arr[10],2037
deadctr_arr[11],4349
deadctr_arr[12],8789
deadctr_arr[13],17771
deadctr_arr[14],35291
deadctr_arr[15],70249
deadctr_arr[16],140021
deadctr_arr[17],280394
deadctr_arr[18],466608
