Benchmark,x264
exe_time,3426.203125
CYCLE_VAL,682424375
tracectr,4000019
mem_clk,1330295
invokectr,587805
oramctr,338739
dummyctr,104692
pos1_access,33757
pos2_access,3157
plb_hit0,0.000000%
plb_hit1,88.815704%
plb_hit2,90.647866%
plb_hit0,0
plb_hit1,268068
plb_hit2,30600
plbaccess0,301825
plbaccess1,301825
plbaccess2,33757
oramQ_size,48
Bk_Evict,0.000000%
Bk_Evict,0
Cache_Hit,62.348153%
Cache Evict,57.328046%
rho_hit,48.652189%
rhoctr,311517
rho_dummyctr,416279
rho_bkctr,0.000000%
earlyctr,0
dirty_pointctr,0
cache_dirty,497478
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,9.843938%
midctr,17.098461%
botctr,73.057601%
ring_evictctr,0
stashctr,0
stash_cont,0
linger_discard,0
shuffctr,0
ringctr,0
wbctr,0
writectr,408693
wskip,0
mem_req_late,1165.806919
nonmemops_sum,145703456
missl1wb,0
missl1wb_rate,0.000000%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,0
nonleaf_r_norm,0
leaf_r_norm,0
nonleaf_w_norm,39021964
leaf_w_norm,3547448
nonleaf_r_remote,0
leaf_r_remote,0
nonleaf_r_inplace,0
leaf_r_inplace,0
nonleaf_w_inplace,0
nonleaf_w_inplace_remembered,0
nonleaf_w_remote,0
leaf_w_inplace,0
leaf_w_remote,0
deadQ-size,0
remote_located_leaves,0
shuff_tc+,0
shuff[0],0
shuff[1],0
shuff[2],0
shuff[3],0
shuff[4],0
shuff[5],0
shuff[6],0
shuff[7],0
shuff[8],0
shuff[9],0
shuff[10],0
shuff[11],0
shuff[12],0
shuff[13],0
shuff[14],0
shuff[15],0
shuff[16],0
shuff[17],0
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
shuff[24],0
nonleaf_elselevel,0
leaf_elselevel,0
remote_located_nonleaves,0
surplus_dead,0
surplus_in_use,0
rmiss,724802
wmiss,657345
deadrem,0
