Benchmark,x264
exe_time,0.000000
CYCLE_VAL,30
tracectr,214206
invokectr,214206
oramctr,0
dummyctr,0
pos1_access,18375
pos2_access,1845
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,52.172383%
midctr,8.711186%
botctr,39.116430%
stashctr,4
ringctr,221669
ring_evictctr,44333
shuffctr,153338
shuff_tc+,70260
shuffctr_dram,70260
shuffctr_nvm,0
nonmemops_sum,0
deadctr,1719860
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,8711775
dram_remote_r,154433
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,7192458
dram_remote_w,1098589
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,944156
remote_nvms,0
surplus_dead,33488896
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,122
dead_dram,1717668
deadQs,7993
shuff[0],0
shuff[1],3953
shuff[2],7757
shuff[3],9305
shuff[4],9907
shuff[5],10271
shuff[6],10373
shuff[7],10500
shuff[8],10538
shuff[9],10474
shuff[10],10339
shuff[11],10218
shuff[12],9941
shuff[13],9425
shuff[14],8321
shuff[15],10127
shuff[16],8677
shuff[17],2770
shuff[18],410
shuff[19],32
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
realcount[0],8898
realcount[1],11814
realcount[2],14601
realcount[3],14405
realcount[4],12603
realcount[5],12082
realcount[6],8965
realcount[7],6440
realcount[8],5970
realcount[9],8813
realcount[10],11059
realcount[11],8845
realcount[12],5213
realcount[13],2617
realcount[14],1355
realcount[15],671
realcount[16],291
realcount[17],168
realcount[18],76
realcount[19],47
realcount[20],27
realcount[21],11
realcount[22],200
realcount[23],86498
dumcount[0],212771
dumcount[1],209855
dumcount[2],207068
dumcount[3],207264
dumcount[4],209066
dumcount[5],209587
dumcount[6],212704
dumcount[7],215229
dumcount[8],215699
dumcount[9],212856
dumcount[10],210610
dumcount[11],212824
dumcount[12],216456
dumcount[13],219052
dumcount[14],220314
dumcount[15],220998
dumcount[16],221378
dumcount[17],221501
dumcount[18],221593
dumcount[19],221622
dumcount[20],221642
dumcount[21],221658
dumcount[22],221469
dumcount[23],135171
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],17191
s_dist[6],0
s_dist[7],4825
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],2
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],421010
s_underctr,256569
s_overctr,842020
s_inctr,6673414
inplacectr,7192458
takenctr,256572
extendctr,842023
s_under[15],2
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],4
deadctr_arr[1],5
deadctr_arr[2],11
deadctr_arr[3],24
deadctr_arr[4],45
deadctr_arr[5],63
deadctr_arr[6],135
deadctr_arr[7],241
deadctr_arr[8],554
deadctr_arr[9],1110
deadctr_arr[10],2197
deadctr_arr[11],4346
deadctr_arr[12],8748
deadctr_arr[13],17359
deadctr_arr[14],35201
deadctr_arr[15],70658
deadctr_arr[16],116992
deadctr_arr[17],171521
deadctr_arr[18],200836
deadctr_arr[19],212072
deadctr_arr[20],216854
deadctr_arr[21],219288
deadctr_arr[22],220502
deadctr_arr[23],221094
deadQ_ov[15],50296
deadQ_ov[16],97209
deadQ_ov[17],135071
deadQ_ov[18],140596
deadQ_ov[19],137969
deadQ_ov[20],135311
deadQ_ov[21],133728
deadQ_ov[22],132933
deadQ_ov[23],132497
deadQ_empty_s6[15],89
deadQ_empty_s6[16],0
deadQ_empty_s6[17],0
deadQ_empty_s6[18],0
deadQ_empty_s6[19],0
deadQ_empty_s6[20],0
deadQ_empty_s6[21],0
deadQ_empty_s6[22],0
deadQ_empty_s6[23],0
deadQ_empty_s7[15],122
deadQ_empty_s7[16],0
deadQ_empty_s7[17],0
deadQ_empty_s7[18],0
deadQ_empty_s7[19],0
deadQ_empty_s7[20],0
deadQ_empty_s7[21],0
deadQ_empty_s7[22],0
deadQ_empty_s7[23],0
Q_serve_under[15],144313
Q_serve_under[16],71536
Q_serve_under[17],24264
Q_serve_under[18],8966
Q_serve_under[19],3952
Q_serve_under[20],1944
Q_serve_under[21],927
Q_serve_under[22],440
Q_serve_under[23],227
Q_serve_over[15],108914
Q_serve_over[16],106020
Q_serve_over[17],94206
Q_serve_over[18],89486
Q_serve_over[19],88730
Q_serve_over[20],88666
Q_serve_over[21],88666
Q_serve_over[22],88666
Q_serve_over[23],88666
cap_Q_full[15],0
