Benchmark,gcc
Experiment,reshuf
exe_time,0.000000
CYCLE_VAL,2
tracectr,15557427
invokectr,15557427
oramctr,0
dummyctr,0
pos1_access,2043325
pos2_access,384873
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,71.029663%
midctr,20.113193%
botctr,8.857144%
stashctr,200
ringctr,17195520
ring_evictctr,3439086
shuffctr,17204636
shuff_tc+,10751258
shuffctr_dram,10751258
shuffctr_nvm,0
nonmemops_sum,0
deadctr,20975518
stash_hit,790105
dram_norm_r,761185788
nvm_norm_r,0
dram_norm_w,740212384
nvm_norm_w,0
dram_inplace_r,0
dram_remote_r,0
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,0
dram_remote_w,0
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,0
remote_nvms,0
surplus_dead,50331648
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,20973276
deadQs,0
shuff[0],0
shuff[1],308909
shuff[2],601215
shuff[3],717894
shuff[4],770654
shuff[5],796750
shuff[6],808520
shuff[7],814453
shuff[8],816761
shuff[9],818222
shuff[10],819632
shuff[11],819844
shuff[12],819374
shuff[13],819433
shuff[14],818845
shuff[15],816528
shuff[16],811428
shuff[17],802774
shuff[18],783616
shuff[19],748952
shuff[20],676420
shuff[21],534830
shuff[22],938036
shuff[23],541546
realcount[0],651499
realcount[1],863974
realcount[2],1061610
realcount[3],1199769
realcount[4],1256247
realcount[5],1374186
realcount[6],1439543
realcount[7],1351296
realcount[8],1165849
realcount[9],987245
realcount[10],862638
realcount[11],802016
realcount[12],824338
realcount[13],637759
realcount[14],414369
realcount[15],260554
realcount[16],167992
realcount[17],117794
realcount[18],84113
realcount[19],68979
realcount[20],80636
realcount[21],258833
realcount[22],262622
realcount[23],1001569
dumcount[0],16543931
dumcount[1],16331456
dumcount[2],16133820
dumcount[3],15995661
dumcount[4],15939183
dumcount[5],15821244
dumcount[6],15755887
dumcount[7],15844134
dumcount[8],16029581
dumcount[9],16208185
dumcount[10],16332792
dumcount[11],16393414
dumcount[12],16371092
dumcount[13],16557671
dumcount[14],16781061
dumcount[15],16934876
dumcount[16],17027438
dumcount[17],17077636
dumcount[18],17111317
dumcount[19],17126451
dumcount[20],17114794
dumcount[21],16936597
dumcount[22],16932808
dumcount[23],16193861
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],1479582
s_dist[4],0
s_dist[5],0
s_dist[6],0
s_dist[7],5174548
allocS_dist[0],0
