Benchmark,wrf
exe_time,7316.562500
CYCLE_VAL,1624990405
tracectr,999997
mem_clk,0
invokectr,1382917
oramctr,0
dummyctr,0
pos1_access,251154
pos2_access,12795
plb_hit0,0.000000%
plb_hit1,59.424101%
plb_hit2,97.627827%
plb_hit0,0
plb_hit1,821786
plb_hit2,547820
plbaccess0,1382917
plbaccess1,1382917
plbaccess2,561131
oramQ_size,41
Bk_Evict,-nan%
Bk_Evict,0
Cache_Hit,28.833086%
Cache Evict,94.320939%
rho_hit,0.000000%
rhoctr,0
rho_dummyctr,0
rho_bkctr,-nan%
earlyctr,0
dirty_pointctr,0
cache_dirty,904258
ptr_fail,0
search_fail,0
pinctr,0
unpinctr,0
precase,0
sttctr,0
stash_leftover,0
stash_removed,0
fillhit,0
fillmiss,0
topctr,9.241796%
midctr,44.624942%
botctr,46.133262%
ring_evictctr,329373
stashctr,1
stash_cont,0
linger_discard,0
shuffctr,1266067
ringctr,1646866
wbctr,1550597
writectr,1373095
wskip,0
mem_req_late,1175.045503
nonmemops_sum,183720659
missl1wb,0
missl1wb_rate,0.000000%
wbshuff,0
ringdumctr,0
wl_pos1,0
wl_pos2,0
stalectr,0
stale_flush_ctr,0
stale_discard_ctr,0
stale_reduction,0
glctr[0],0.000000%
glctr[1],0.000000%
glctr[2],0.000000%
STALE_BUF,300
STALE_CAP,56
deadctr,8277522
dead_on_path,67
dram_norm_r,46059648
nvm_norm_r,3293731
dram_norm_w,59160936
nvm_norm_w,3952476
dram_inplace_r,0
dram_remote_r,0
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,0
dram_remote_w,0
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,0
remote_nvms,0
dram_elselevel,0
nvm_elselevel,0
surplus_dead,0
surplus_in_use,0
rmiss,9822
wmiss,701845
deadrem,0
shuff_tc+,648229
shuff[0],0
shuff[1],29882
shuff[2],57658
shuff[3],68773
shuff[4],73508
shuff[5],76108
shuff[6],77463
shuff[7],77980
shuff[8],78184
shuff[9],78282
shuff[10],78530
shuff[11],77951
shuff[12],78145
shuff[13],77251
shuff[14],76179
shuff[15],73913
shuff[16],69412
shuff[17],60611
shuff[18],42661
shuff[19],12600
shuff[20],957
shuff[21],18
shuff[22],1
shuff[23],0
count_min[0],5
count_min[1],1
count_min[2],1
count_min[3],1
count_min[4],1
count_min[5],1
count_min[6],1
count_min[7],1
count_min[8],1
count_min[9],1
count_min[10],1
count_min[11],1
count_min[12],1
count_min[13],1
count_min[14],1
count_min[15],1
count_min[16],1
count_min[17],1
count_min[18],1
count_min[19],1
count_min[20],1
count_min[21],1
count_min[22],1
count_min[23],1
count_max[0],5
count_max[1],7
count_max[2],7
count_max[3],7
count_max[4],7
count_max[5],7
count_max[6],7
count_max[7],7
count_max[8],7
count_max[9],7
count_max[10],7
count_max[11],7
count_max[12],7
count_max[13],7
count_max[14],7
count_max[15],7
count_max[16],7
count_max[17],6
count_max[18],6
count_max[19],6
count_max[20],6
count_max[21],6
count_max[22],5
count_max[23],4
count_avg[0],5.000000
count_avg[1],4.504973
count_avg[2],4.067471
count_avg[3],3.899051
count_avg[4],3.825321
count_avg[5],3.787661
count_avg[6],3.767387
count_avg[7],3.757702
count_avg[8],3.759084
count_avg[9],3.753968
count_avg[10],3.741497
count_avg[11],3.749873
count_avg[12],3.736210
count_avg[13],3.731526
count_avg[14],3.709670
count_avg[15],3.665657
count_avg[16],3.578247
count_avg[17],3.391473
count_avg[18],2.987699
count_avg[19],2.202545
count_avg[20],1.579282
count_avg[21],1.275417
count_avg[22],1.134719
count_avg[23],1.065379
