Experiment,sinc0-fail
exe_time,0.000000
CYCLE_VAL,2
tracectr,62785862
invokectr,62785862
oramctr,0
dummyctr,0
pos1_access,8161234
pos2_access,1558793
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,71.349814%
midctr,19.668029%
botctr,8.982157%
stashctr,19
ringctr,69406122
ring_evictctr,13881215
shuffctr,74212851
shuff_tc+,48166752
shuffctr_dram,48166752
shuffctr_nvm,0
nonmemops_sum,0
deadctr,31389202
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,2153957324
dram_remote_r,30246536
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,2797601521
dram_remote_w,72146533
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,41899997
remote_nvms,0
surplus_dead,16777216
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,31386942
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,-0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,-0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,0
rmpki,-nan
wmpki,-nan
supshuf_total,5019342
supshuf_horiz1,7757533
supshuf_horiz2,6836802
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],1251614
shuff[2],2428778
shuff[3],2895544
shuff[4],3109088
shuff[5],3209592
shuff[6],3261827
shuff[7],3285986
shuff[8],3298321
shuff[9],3305349
shuff[10],3307509
shuff[11],3310542
shuff[12],3310630
shuff[13],3309089
shuff[14],3309998
shuff[15],3307366
shuff[16],3302062
shuff[17],3294569
shuff[18],3274676
shuff[19],3240998
shuff[20],3167337
shuff[21],3025321
shuff[22],2739408
shuff[23],6267247
realcount[0],2455783
realcount[1],3304293
realcount[2],4121303
realcount[3],4705612
realcount[4],5038268
realcount[5],5633614
realcount[6],5993869
realcount[7],5753983
realcount[8],4958369
realcount[9],4096689
realcount[10],3459323
realcount[11],3142012
realcount[12],3258636
realcount[13],2528287
realcount[14],1627975
realcount[15],1032970
realcount[16],671268
realcount[17],480532
realcount[18],351430
realcount[19],296363
