Benchmark,gcc
exe_time,4867.937500
CYCLE_VAL,293456078
tracectr,40000007
invokectr,38164888
oramctr,0
dummyctr,0
pos1_access,5023211
pos2_access,954785
Bk_Evict,0
Cache_Hit,91.119471%
Cache Evict,85.673265%
hitctr,911202
missctr,88806
earlyctr,0
topctr,71.079144%
midctr,19.828294%
botctr,9.092561%
stashctr,0
ringctr,42250269
ring_evictctr,8450048
shuffctr,42001483
shuff_tc+,26142769
shuffctr_dram,26142769
shuffctr_nvm,0
nonmemops_sum,514126665
deadctr,28420373
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,1058147744
dram_remote_r,763440868
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,975503889
dram_remote_w,842766873
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,79326005
remote_nvms,0
surplus_dead,33488896
surplus_in_use,0
rmiss,54265
wmiss,154805
nonmemops_executed,228043685
dead_dram,28418138
deadQs,8866
shuff[0],0
shuff[1],763083
shuff[2],1476673
shuff[3],1763728
shuff[4],1893830
shuff[5],1954237
shuff[6],1985703
shuff[7],2001416
shuff[8],2008317
shuff[9],2011727
shuff[10],2011554
shuff[11],2013876
shuff[12],2015943
shuff[13],2014529
shuff[14],2013485
shuff[15],2014824
shuff[16],2014256
shuff[17],2014741
shuff[18],2012691
shuff[19],2008865
shuff[20],2003027
shuff[21],1991781
shuff[22],1968298
shuff[23],44899
realcount[0],1515613
realcount[1],2037120
realcount[2],2535901
realcount[3],2888201
realcount[4],3069658
realcount[5],3416905
realcount[6],3602502
realcount[7],3435493
realcount[8],2971527
realcount[9],2467704
realcount[10],2090485
realcount[11],1905494
realcount[12],1979990
realcount[13],1544569
realcount[14],1011622
realcount[15],637059
realcount[16],411276
realcount[17],291895
realcount[18],213230
realcount[19],176835
realcount[20],205532
realcount[21],1616405
realcount[22],619350
realcount[23],1605874
dumcount[0],40734627
dumcount[1],40213120
dumcount[2],39714339
dumcount[3],39362039
dumcount[4],39180582
dumcount[5],38833335
dumcount[6],38647738
dumcount[7],38814747
dumcount[8],39278713
dumcount[9],39782536
dumcount[10],40159755
dumcount[11],40344746
dumcount[12],40270250
dumcount[13],40705671
dumcount[14],41238618
dumcount[15],41613181
dumcount[16],41838964
dumcount[17],41958345
dumcount[18],42037010
dumcount[19],42073405
dumcount[20],42044708
dumcount[21],40633835
dumcount[22],41630890
dumcount[23],40644366
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],1485152
s_dist[6],26089
s_dist[7],14562141
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],16989894
allocS_dist[7],83628867
s_underctr,658519245
s_overctr,184247628
s_inctr,860458502
inplacectr,975503889
takenctr,658519245
extendctr,184247628
s_under[15],0
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],0
deadctr_arr[1],2
deadctr_arr[2],7
deadctr_arr[3],18
deadctr_arr[4],40
deadctr_arr[5],82
deadctr_arr[6],143
deadctr_arr[7],274
deadctr_arr[8],523
deadctr_arr[9],1146
deadctr_arr[10],2255
deadctr_arr[11],4477
deadctr_arr[12],8851
deadctr_arr[13],17583
deadctr_arr[14],34983
deadctr_arr[15],70481
deadctr_arr[16],140330
deadctr_arr[17],280216
deadctr_arr[18],561766
deadctr_arr[19],1122430
deadctr_arr[20],2245385
deadctr_arr[21],4493897
deadctr_arr[22],8981262
deadctr_arr[23],10454222
deadQ_ov[15],5916675
deadQ_ov[16],6765180
deadQ_ov[17],7215246
deadQ_ov[18],7528866
deadQ_ov[19],7888733
deadQ_ov[20],8384731
deadQ_ov[21],9346885
deadQ_ov[22],11286310
deadQ_ov[23],18487209
deadQ_empty_s6[15],0
deadQ_empty_s6[16],0
deadQ_empty_s6[17],0
deadQ_empty_s6[18],0
deadQ_empty_s6[19],0
deadQ_empty_s6[20],0
deadQ_empty_s6[21],0
deadQ_empty_s6[22],0
deadQ_empty_s6[23],0
deadQ_empty_s7[15],0
deadQ_empty_s7[16],0
deadQ_empty_s7[17],0
deadQ_empty_s7[18],0
deadQ_empty_s7[19],0
deadQ_empty_s7[20],0
deadQ_empty_s7[21],0
deadQ_empty_s7[22],0
deadQ_empty_s7[23],0
Q_serve_under[15],99277843
Q_serve_under[16],97757720
Q_serve_under[17],95818967
Q_serve_under[18],92442485
Q_serve_under[19],85989081
Q_serve_under[20],73816945
Q_serve_under[21],54848921
Q_serve_under[22],32172341
Q_serve_under[23],26394942
Q_serve_over[15],20929744
Q_serve_over[16],20928608
Q_serve_over[17],20929578
Q_serve_over[18],20925478
Q_serve_over[19],20917826
Q_serve_over[20],20906150
Q_serve_over[21],20883658
Q_serve_over[22],20836692
Q_serve_over[23],16989894
cap_Q_full[15],0
cap_Q_full[16],0
cap_Q_full[17],0
cap_Q_full[18],0
cap_Q_full[19],0
cap_Q_full[20],0
cap_Q_full[21],0
cap_Q_full[22],0
