Benchmark,gcc
exe_time,2857.718750
CYCLE_VAL,3
tracectr,39000001
invokectr,38000001
oramctr,0
dummyctr,0
pos1_access,4965838
pos2_access,939842
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,71.378276%
midctr,19.614111%
botctr,9.007613%
stashctr,4
ringctr,42013942
ring_evictctr,8402782
shuffctr,82033980
shuff_tc+,66266125
shuffctr_dram,66266125
shuffctr_nvm,0
nonmemops_sum,286074382
deadctr,29181040
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,1478011419
dram_remote_r,29708742
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,1788541369
dram_remote_w,61047028
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,31338286
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,33062
wmiss,87204
nonmemops_executed,11
dead_dram,29178841
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,11
rmpki,0.115571
wmpki,0.304830
supshuf_total,2297543
supshuf_horiz1,4336288
supshuf_horiz2,3483964
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],756426
shuff[2],1469258
shuff[3],1752950
shuff[4],1881569
shuff[5],1943436
shuff[6],1975226
shuff[7],1990167
shuff[8],1996880
shuff[9],2001943
shuff[10],4969139
shuff[11],4971463
shuff[12],4974301
shuff[13],4976543
shuff[14],4983610
shuff[15],4996301
shuff[16],5022467
shuff[17],5071377
shuff[18],5163487
shuff[19],5254199
shuff[20],5141572
shuff[21],4638258
shuff[22],3781233
shuff[23],2322175
realcount[0],1511569
realcount[1],2033008
realcount[2],2534464
realcount[3],2885130
realcount[4],3066130
realcount[5],3412534
realcount[6],3597984
realcount[7],3428698
realcount[8],2966174
realcount[9],2462920
realcount[10],2090197
realcount[11],1903536
realcount[12],1977443
realcount[13],1533590
realcount[14],985592
realcount[15],621913
realcount[16],402721
realcount[17],285213
realcount[18],208353
realcount[19],172316
realcount[20],149979
realcount[21],1368477
realcount[22],968150
realcount[23],1447823
dumcount[0],40502345
dumcount[1],39980906
dumcount[2],39479450
dumcount[3],39128784
dumcount[4],38947784
dumcount[5],38601380
dumcount[6],38415930
dumcount[7],38585216
dumcount[8],39047740
dumcount[9],39550994
dumcount[10],39923717
dumcount[11],40110378
dumcount[12],40036471
dumcount[13],40480324
dumcount[14],41028322
dumcount[15],41392001
dumcount[16],41611193
dumcount[17],41728701
dumcount[18],41805561
dumcount[19],41841598
dumcount[20],41863935
dumcount[21],40645437
dumcount[22],41045764
dumcount[23],40566091
supcount_dist[0],595594
supcount_dist[1],0
supcount_dist[2],463031
supcount_dist[3],0
supcount_dist[4],358037
supcount_dist[5],0
supcount_dist[6],257373
supcount_dist[7],0
supcount_dist[8],175804
supcount_dist[9],0
supcount_dist[10],1104874
supcount_dist[11],0
supcount_dist[12],648256
supcount_dist[13],0
supcount_dist[14],940432
supcount_dist[15],0
supcount_dist[16],850790
supcount_dist[17],0
supcount_dist[18],709217
supcount_dist[19],0
supcount_dist[20],0
suphoriz1_dist[0],498697
suphoriz1_dist[1],470822
suphoriz1_dist[2],449469
suphoriz1_dist[3],434652
suphoriz1_dist[4],420734
suphoriz1_dist[5],468873
suphoriz1_dist[6],515939
suphoriz1_dist[7],522047
suphoriz1_dist[8],0
suphoriz2_dist[0],366488
suphoriz2_dist[1],314454
suphoriz2_dist[2],258949
suphoriz2_dist[3],209307
suphoriz2_dist[4],164591
suphoriz2_dist[5],254844
suphoriz2_dist[6],359374
suphoriz2_dist[7],394168
suphoriz2_dist[8],0
ephoriz1_dist[0],0
ephoriz1_dist[1],0
ephoriz1_dist[2],0
ephoriz1_dist[3],0
ephoriz1_dist[4],0
ephoriz1_dist[5],0
ephoriz1_dist[6],0
ephoriz1_dist[7],0
ephoriz1_dist[8],0
ephoriz2_dist[0],0
ephoriz2_dist[1],0
ephoriz2_dist[2],0
ephoriz2_dist[3],0
ephoriz2_dist[4],0
ephoriz2_dist[5],0
ephoriz2_dist[6],0
ephoriz2_dist[7],0
ephoriz2_dist[8],0
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],6647010
s_dist[5],58533433
s_dist[6],169562
s_dist[7],916120
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],17363603
allocS_dist[5],160909246
allocS_dist[6],726781
allocS_dist[7],4905443
s_underctr,33145758
s_overctr,10537667
