Benchmark,gcc
exe_time,4217.062500
CYCLE_VAL,288919419
tracectr,40000008
invokectr,38164886
oramctr,0
dummyctr,0
pos1_access,5012206
pos2_access,954244
Bk_Evict,0
Cache_Hit,91.119580%
Cache Evict,85.673104%
hitctr,911204
missctr,88805
earlyctr,0
topctr,71.164193%
midctr,19.762272%
botctr,9.073535%
stashctr,0
ringctr,42208439
ring_evictctr,8441658
shuffctr,45847569
shuff_tc+,30002903
shuffctr_dram,30002903
shuffctr_nvm,0
nonmemops_sum,514126684
deadctr,25955660
dram_norm_r,1818055714
nvm_norm_r,0
dram_norm_w,1792102260
nvm_norm_w,0
dram_inplace_r,0
dram_remote_r,0
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,0
dram_remote_w,0
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,0
remote_nvms,0
surplus_dead,33554432
surplus_in_use,0
rmiss,54265
wmiss,154805
nonmemops_executed,228043714
dead_dram,25953454
deadQs,0
shuff[0],0
shuff[1],761736
shuff[2],1478352
shuff[3],1761909
shuff[4],1891870
shuff[5],1954217
shuff[6],1982643
shuff[7],1998644
shuff[8],2007345
shuff[9],2007950
shuff[10],2011055
shuff[11],2013570
shuff[12],2014090
shuff[13],2012290
shuff[14],2009191
shuff[15],2008706
shuff[16],2004645
shuff[17],1993594
shuff[18],1977122
shuff[19],1941461
shuff[20],1871232
shuff[21],1728668
shuff[22],1442841
shuff[23],4974438
realcount[0],1530141
realcount[1],2054167
realcount[2],2551772
realcount[3],2893580
realcount[4],3076047
realcount[5],3414730
realcount[6],3599432
realcount[7],3419030
realcount[8],2957910
realcount[9],2455469
realcount[10],2084911
realcount[11],1905547
realcount[12],1973492
realcount[13],1532858
realcount[14],1001443
realcount[15],630230
realcount[16],407597
realcount[17],290025
realcount[18],213071
realcount[19],177945
realcount[20],209109
realcount[21],1596126
realcount[22],635145
realcount[23],1598513
dumcount[0],40678149
dumcount[1],40154123
dumcount[2],39656518
dumcount[3],39314710
dumcount[4],39132243
dumcount[5],38793560
dumcount[6],38608858
dumcount[7],38789260
dumcount[8],39250380
dumcount[9],39752821
dumcount[10],40123379
dumcount[11],40302743
dumcount[12],40234798
dumcount[13],40675432
dumcount[14],41206847
dumcount[15],41578060
dumcount[16],41800693
dumcount[17],41918265
dumcount[18],41995219
dumcount[19],42030345
dumcount[20],41999181
dumcount[21],40612164
dumcount[22],41573145
dumcount[23],40609777
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],2487219
s_dist[4],0
s_dist[5],0
