Experiment,top
exe_time,0.000000
CYCLE_VAL,2
tracectr,2
invokectr,2
oramctr,0
dummyctr,0
pos1_access,1
pos2_access,2
Bk_Evict,0
Cache_Hit,-nan%
Cache Evict,-nan%
hitctr,0
missctr,0
earlyctr,0
topctr,0.000000%
midctr,0.000000%
botctr,100.000000%
stashctr,2
ringctr,5
ring_evictctr,1
shuffctr,0
shuff_tc+,0
shuffctr_dram,0
shuffctr_nvm,0
nonmemops_sum,0
deadctr,120
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,307
dram_remote_r,0
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,166
dram_remote_w,0
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,0
remote_nvms,0
surplus_dead,16777216
surplus_in_use,0
rmiss,0
wmiss,0
nonmemops_executed,10
dead_dram,70
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,-nan
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,4
rmpki,-nan
wmpki,-nan
supshuf_total,0
supshuf_horiz1,0
supshuf_horiz2,0
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],0
shuff[2],0
shuff[3],0
shuff[4],0
shuff[5],0
shuff[6],0
shuff[7],0
shuff[8],0
shuff[9],0
shuff[10],0
shuff[11],0
shuff[12],0
shuff[13],0
shuff[14],0
shuff[15],0
shuff[16],0
shuff[17],0
shuff[18],0
shuff[19],0
shuff[20],0
shuff[21],0
shuff[22],0
shuff[23],0
realcount[0],0
realcount[1],0
realcount[2],0
realcount[3],0
realcount[4],0
realcount[5],0
realcount[6],0
realcount[7],0
realcount[8],0
realcount[9],0
realcount[10],0
realcount[11],0
realcount[12],0
realcount[13],0
realcount[14],0
realcount[15],0
realcount[16],0
realcount[17],0
realcount[18],0
realcount[19],0
realcount[20],0
realcount[21],0
realcount[22],0
realcount[23],5
dumcount[0],5
dumcount[1],5
dumcount[2],5
dumcount[3],5
dumcount[4],5
dumcount[5],5
dumcount[6],5
dumcount[7],5
dumcount[8],5
dumcount[9],5
dumcount[10],5
