Benchmark,x264
exe_time,11763.890625
CYCLE_VAL,856351685
tracectr,39796060
invokectr,38551762
oramctr,0
dummyctr,0
pos1_access,3454904
pos2_access,381026
Bk_Evict,0
Cache_Hit,56.307117%
Cache Evict,58.633151%
hitctr,448239
missctr,347822
earlyctr,0
topctr,50.855797%
midctr,43.388559%
botctr,5.755644%
stashctr,2
ringctr,40824921
ring_evictctr,8164983
shuffctr,42387047
shuff_tc+,27067994
shuffctr_dram,27067994
shuffctr_nvm,0
nonmemops_sum,232695885
deadctr,35661315
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,965102314
dram_remote_r,733807903
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,879046023
dram_remote_w,817487049
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,83679146
remote_nvms,0
surplus_dead,33488896
surplus_in_use,0
rmiss,366393
wmiss,413791
nonmemops_executed,101326610
dead_dram,35659119
deadQs,8871
shuff[0],0
shuff[1],734676
shuff[2],1427779
shuff[3],1704082
shuff[4],1828424
shuff[5],1889238
shuff[6],1917317
shuff[7],1933969
shuff[8],1940153
shuff[9],1943415
shuff[10],1945333
shuff[11],1946224
shuff[12],1947491
shuff[13],1946230
shuff[14],1946153
shuff[15],1946663
shuff[16],1946661
shuff[17],1945984
shuff[18],1943806
shuff[19],1940865
shuff[20],1935768
shuff[21],1924014
shuff[22],1899506
shuff[23],1853296
realcount[0],1088144
realcount[1],1415241
realcount[2],1863603
realcount[3],2099306
realcount[4],2257491
realcount[5],2708598
realcount[6],2193182
realcount[7],1603582
realcount[8],1304513
realcount[9],1822957
realcount[10],2405220
realcount[11],2053940
realcount[12],1424163
realcount[13],831684
realcount[14],875586
realcount[15],943168
realcount[16],1715170
realcount[17],2722806
realcount[18],3148001
realcount[19],2395964
realcount[20],1602861
realcount[21],937447
realcount[22],602467
realcount[23],809822
dumcount[0],39736772
dumcount[1],39409675
dumcount[2],38961313
dumcount[3],38725610
dumcount[4],38567425
dumcount[5],38116318
dumcount[6],38631734
dumcount[7],39221334
dumcount[8],39520403
dumcount[9],39001959
dumcount[10],38419696
dumcount[11],38770976
dumcount[12],39400753
dumcount[13],39993232
dumcount[14],39949330
dumcount[15],39881748
dumcount[16],39109746
dumcount[17],38102110
dumcount[18],37676915
dumcount[19],38428952
dumcount[20],39222055
dumcount[21],39887469
dumcount[22],40222449
dumcount[23],40015094
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],0
s_dist[5],2935712
s_dist[6],0
s_dist[7],14400851
allocS_dist[0],0
allocS_dist[1],0
allocS_dist[2],0
allocS_dist[3],0
allocS_dist[4],0
allocS_dist[5],0
allocS_dist[6],0
allocS_dist[7],90821410
s_underctr,635844229
s_overctr,181642820
s_inctr,764610764
inplacectr,879046023
takenctr,635844229
extendctr,181642820
s_under[15],0
s_under[16],0
s_under[17],0
s_under[18],0
s_under[19],0
s_under[20],0
s_under[21],0
s_under[22],0
s_under[23],0
deadctr_arr[0],1
deadctr_arr[1],3
deadctr_arr[2],10
deadctr_arr[3],16
deadctr_arr[4],30
deadctr_arr[5],72
deadctr_arr[6],147
deadctr_arr[7],295
deadctr_arr[8],560
deadctr_arr[9],1062
deadctr_arr[10],2159
deadctr_arr[11],4451
deadctr_arr[12],8710
deadctr_arr[13],17682
deadctr_arr[14],35193
deadctr_arr[15],69870
deadctr_arr[16],140914
deadctr_arr[17],280894
deadctr_arr[18],561269
deadctr_arr[19],1122497
deadctr_arr[20],2246783
deadctr_arr[21],4490137
deadctr_arr[22],8979272
deadctr_arr[23],17699288
deadQ_ov[15],5726139
deadQ_ov[16],6530325
deadQ_ov[17],6966962
deadQ_ov[18],7273021
deadQ_ov[19],7609699
deadQ_ov[20],8112813
deadQ_ov[21],9057858
deadQ_ov[22],10947113
deadQ_ov[23],14690610
deadQ_empty_s6[15],0
deadQ_empty_s6[16],0
deadQ_empty_s6[17],0
deadQ_empty_s6[18],0
deadQ_empty_s6[19],0
deadQ_empty_s6[20],0
deadQ_empty_s6[21],0
deadQ_empty_s6[22],0
deadQ_empty_s6[23],0
deadQ_empty_s7[15],0
deadQ_empty_s7[16],0
deadQ_empty_s7[17],0
deadQ_empty_s7[18],0
deadQ_empty_s7[19],0
deadQ_empty_s7[20],0
deadQ_empty_s7[21],0
deadQ_empty_s7[22],0
deadQ_empty_s7[23],0
Q_serve_under[15],94129724
Q_serve_under[16],93911228
Q_serve_under[17],93394679
Q_serve_under[18],91075144
Q_serve_under[19],84942531
Q_serve_under[20],72640459
Q_serve_under[21],53521209
Q_serve_under[22],33445584
Q_serve_under[23],18783671
Q_serve_over[15],20223292
Q_serve_over[16],20223288
Q_serve_over[17],20221934
Q_serve_over[18],20217578
Q_serve_over[19],20211696
Q_serve_over[20],20201502
Q_serve_over[21],20177994
Q_serve_over[22],20128978
Q_serve_over[23],20036558
cap_Q_full[15],0
cap_Q_full[16],0
cap_Q_full[17],0
cap_Q_full[18],0
cap_Q_full[19],0
cap_Q_full[20],0
cap_Q_full[21],0
cap_Q_full[22],0
cap_Q_full[23],0
cap_Q_notfull[15],0
cap_Q_notfull[16],0
cap_Q_notfull[17],0
cap_Q_notfull[18],0
cap_Q_notfull[19],0
cap_Q_notfull[20],0
cap_Q_notfull[21],0
cap_Q_notfull[22],0
cap_Q_notfull[23],0
dead_gathered[15],114354005
dead_gathered[16],114135501
dead_gathered[17],113617592
dead_gathered[18],111293705
dead_gathered[19],105155210
dead_gathered[20],92842950
dead_gathered[21],73700185
dead_gathered[22],53575556
dead_gathered[23],38821216
stash_hit,1562771
dead_encountered[15],6038342
dead_encountered[16],7152983
dead_encountered[17],8214084
dead_encountered[18],9783786
dead_encountered[19],12623677
dead_encountered[20],17951897
dead_encountered[21],25918992
dead_encountered[22],33623467
dead_encountered[23],39295329
dead_shadowed[15],0
dead_shadowed[16],0
dead_shadowed[17],0
dead_shadowed[18],0
dead_shadowed[19],0
dead_shadowed[20],0
dead_shadowed[21],0
dead_shadowed[22],0
dead_shadowed[23],0
dead_scan[15],0
dead_scan[16],0
dead_scan[17],0
dead_scan[18],0
dead_scan[19],0
dead_scan[20],0
dead_scan[21],0
dead_scan[22],0
dead_scan[23],0
shad_added[15],0
shad_added[16],0
shad_added[17],0
shad_added[18],0
shad_added[19],0
shad_added[20],0
shad_added[21],0
shad_added[22],0
shad_added[23],0
same_bucket,0
remote_under,57562492
remote_over,26116654
