Benchmark,gcc
exe_time,6779.953125
CYCLE_VAL,3
tracectr,39000001
invokectr,38000001
oramctr,0
dummyctr,0
pos1_access,4966122
pos2_access,939969
Bk_Evict,0
Cache_Hit,50.000000%
Cache Evict,100.000000%
hitctr,1
missctr,1
earlyctr,0
topctr,71.384872%
midctr,19.608032%
botctr,9.007096%
stashctr,4
ringctr,42013197
ring_evictctr,8402632
shuffctr,82033040
shuff_tc+,66267274
shuffctr_dram,66267274
shuffctr_nvm,0
nonmemops_sum,286074382
deadctr,29184038
dram_norm_r,0
nvm_norm_r,0
dram_norm_w,0
nvm_norm_w,0
dram_inplace_r,1478012017
dram_remote_r,29692889
nvm_inplace_r,0
nvm_remote_r,0
dram_inplace_w,1788539391
dram_remote_w,61048024
nvm_inplace_w,0
nvm_remote_w,0
remote_drams,31355135
remote_nvms,0
surplus_dead,33552384
surplus_in_use,0
rmiss,33062
wmiss,87204
nonmemops_executed,11
dead_dram,29181843
Reads_chan[0],0      
Writes_chan[0],0      
R_Latency_chan[0],0.00000
R_Q_Latency_chan[0],0.00000
W_Latency_chan[0],0.00000
W_Q_Latency_chan[0],0.00000
Reads_chan[1],0      
Writes_chan[1],0      
R_Latency_chan[1],0.00000
R_Q_Latency_chan[1],0.00000
W_Latency_chan[1],0.00000
W_Q_Latency_chan[1],0.00000
Reads_chan[2],0      
Writes_chan[2],0      
R_Latency_chan[2],0.00000
R_Q_Latency_chan[2],0.00000
W_Latency_chan[2],0.00000
W_Q_Latency_chan[2],0.00000
Reads_chan[3],0      
Writes_chan[3],0      
R_Latency_chan[3],0.00000
R_Q_Latency_chan[3],0.00000
W_Latency_chan[3],0.00000
W_Q_Latency_chan[3],0.00000
All_R,0
All_W,0
dram_R,0
dram_W,0
DRAM/NVM_R#,-nan
DRAM/NVM_W#,-nan
online_wait_dram,0
online_wait_nvm,0
evict_wait_dram,0
evict_wait_nvm,0
reshuffle_wait_dram,0
reshuffle_wait_nvm,0
meta_wait_dram,0
online_wait_dram_perAcc,0.000000
online_wait_nvm_perAcc,-nan
evict_wait_dram_perAcc,0.000000
evict_wait_nvm_perAcc,-nan
reshuffle_wait_dram_perAcc,0.000000
reshuffle_wait_nvm_perAcc,-nan
meta_wait_dram_perAcc,0.000000
odram,0
onvm,0
envm,0
edram,0
rnvm,0
rdram,0
mdram,0
lrs_ctr,0
deadQs,16
rmpki,0.115571
wmpki,0.304830
supshuf_total,2297555
supshuf_horiz1,4335937
supshuf_horiz2,3484105
supep_horiz1,0
supep_horiz2,0
shuff[0],0
shuff[1],758207
shuff[2],1468471
shuff[3],1753148
shuff[4],1882373
shuff[5],1944091
shuff[6],1975098
shuff[7],1988208
shuff[8],1995254
shuff[9],2000916
shuff[10],4970812
shuff[11],4972505
shuff[12],4972621
shuff[13],4977903
shuff[14],4982713
shuff[15],4996180
shuff[16],5023166
shuff[17],5069031
shuff[18],5162089
shuff[19],5254628
shuff[20],5141017
shuff[21],4639776
shuff[22],3782036
shuff[23],2322797
realcount[0],1511311
realcount[1],2033492
realcount[2],2532334
realcount[3],2883903
realcount[4],3071407
realcount[5],3409345
realcount[6],3597305
realcount[7],3430314
realcount[8],2968984
realcount[9],2462711
realcount[10],2089938
realcount[11],1901023
realcount[12],1977854
realcount[13],1533462
realcount[14],984899
realcount[15],622273
realcount[16],402175
realcount[17],285715
realcount[18],208165
realcount[19],171648
realcount[20],150741
realcount[21],1367656
realcount[22],968678
realcount[23],1447831
dumcount[0],40501853
dumcount[1],39979672
dumcount[2],39480830
dumcount[3],39129261
dumcount[4],38941757
dumcount[5],38603819
dumcount[6],38415859
dumcount[7],38582850
dumcount[8],39044180
dumcount[9],39550453
dumcount[10],39923226
dumcount[11],40112141
dumcount[12],40035310
dumcount[13],40479702
dumcount[14],41028265
dumcount[15],41390891
dumcount[16],41610989
dumcount[17],41727449
dumcount[18],41804999
dumcount[19],41841516
dumcount[20],41862423
dumcount[21],40645508
dumcount[22],41044486
dumcount[23],40565333
supcount_dist[0],594745
supcount_dist[1],0
supcount_dist[2],463312
supcount_dist[3],0
supcount_dist[4],358519
supcount_dist[5],0
supcount_dist[6],257919
supcount_dist[7],0
supcount_dist[8],175341
supcount_dist[9],0
supcount_dist[10],1106303
supcount_dist[11],0
supcount_dist[12],648503
supcount_dist[13],0
supcount_dist[14],942089
supcount_dist[15],0
supcount_dist[16],851192
supcount_dist[17],0
supcount_dist[18],706910
supcount_dist[19],0
supcount_dist[20],0
suphoriz1_dist[0],499742
suphoriz1_dist[1],472051
suphoriz1_dist[2],449105
suphoriz1_dist[3],433489
suphoriz1_dist[4],420236
suphoriz1_dist[5],468438
suphoriz1_dist[6],516089
suphoriz1_dist[7],522886
suphoriz1_dist[8],0
suphoriz2_dist[0],367004
suphoriz2_dist[1],313210
suphoriz2_dist[2],258671
suphoriz2_dist[3],209189
suphoriz2_dist[4],164680
suphoriz2_dist[5],256052
suphoriz2_dist[6],360420
suphoriz2_dist[7],393571
suphoriz2_dist[8],0
ephoriz1_dist[0],0
ephoriz1_dist[1],0
ephoriz1_dist[2],0
ephoriz1_dist[3],0
ephoriz1_dist[4],0
ephoriz1_dist[5],0
ephoriz1_dist[6],0
ephoriz1_dist[7],0
ephoriz1_dist[8],0
ephoriz2_dist[0],0
ephoriz2_dist[1],0
ephoriz2_dist[2],0
ephoriz2_dist[3],0
ephoriz2_dist[4],0
ephoriz2_dist[5],0
ephoriz2_dist[6],0
ephoriz2_dist[7],0
ephoriz2_dist[8],0
s_dist[0],0
s_dist[1],0
s_dist[2],0
s_dist[3],0
s_dist[4],6658365
s_dist[5],58521954
s_dist[6],168757
s_dist[7],918198
