Benchmark,gcc
Experiment,zs40
exe_time,2733.640625
CYCLE_VAL,3
tracectr,40000000
invokectr,39000001
oramctr,0
dummyctr,0
pos1_access,5037821
pos2_access,954348
Bk_Evict,0
Cache_Hit,100.000000%
Cache Evict,-nan%
hitctr,1
missctr,0
earlyctr,0
topctr,71.446385%
midctr,19.521617%
botctr,9.031998%
stashctr,4
ringctr,43021568
ring_evictctr,8604306
shuffctr,128083199
shuff_tc+,111943185
shuffctr_dram,111943185
shuffctr_nvm,0
nonmemops_sum,239819699
deadctr,8438221
stash_hit,1970602
dram_norm_r,2018599358
dram_norm_w,2010163327
dram_total_acc,4028762685
dram_inplace_r,0
dram_remote_r,0
dram_inplace_w,0
dram_remote_w,0
remote_drams,0
surplus_dead,41943040
surplus_in_use,0
rmiss,20687
wmiss,61622
nonmemops_executed,11
dead_dram,8436031
deadQs,0
shuff[0],0
shuff[1],776119
shuff[2],1503232
shuff[3],1795747
shuff[4],1927411
shuff[5],1989716
shuff[6],2021480
shuff[7],2035571
shuff[8],2043674
shuff[9],2047064
shuff[10],2051351
shuff[11],2051040
shuff[12],2051175
shuff[13],2051612
shuff[14],2049408
shuff[15],2046327
shuff[16],2043218
shuff[17],2034366
shuff[18],2017510
shuff[19],19254910
shuff[20],19150225
shuff[21],18939769
shuff[22],18520889
shuff[23],17681385
realcount[0],1546490
realcount[1],2092342
realcount[2],2602523
realcount[3],2950366
realcount[4],3143839
realcount[5],3505940
realcount[6],3717338
realcount[7],3526004
realcount[8],3026962
realcount[9],2512627
realcount[10],2112900
realcount[11],1927629
realcount[12],2016215
realcount[13],1559224
realcount[14],1003658
realcount[15],632778
realcount[16],410721
realcount[17],294448
realcount[18],215296
realcount[19],182174
realcount[20],156356
realcount[21],1416915
realcount[22],1004069
realcount[23],1464720
dumcount[0],41475044
dumcount[1],40929192
dumcount[2],40419011
dumcount[3],40071168
dumcount[4],39877695
dumcount[5],39515594
dumcount[6],39304196
dumcount[7],39495530
dumcount[8],39994572
dumcount[9],40508907
dumcount[10],40908634
dumcount[11],41093905
dumcount[12],41005319
dumcount[13],41462310
dumcount[14],42017876
dumcount[15],42388756
dumcount[16],42610813
dumcount[17],42727086
dumcount[18],42806238
dumcount[19],42839360
dumcount[20],42865178
dumcount[21],41604619
dumcount[22],42017465
